key_resp1.keys,key_resp1.rt,participant,session,group,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_10.keys,key_resp_10.rt,key_ressp2.keys,key_ressp2.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp1_2.keys,key_resp1_2.rt,key_resp1_3.keys,key_resp1_3.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_18.keys,key_resp_18.rt,key_resp_7.keys,key_resp_7.rt,key_resp1_4.keys,key_resp1_4.rt,syllable_catch.keys,key_resp_16.keys,audio1.thisRepN,audio1.thisTrialN,audio1.thisN,audio1.thisIndex,audio1.ran,dirs,timeA,timeB,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,Conj_unsync_online.thisRepN,Conj_unsync_online.thisTrialN,Conj_unsync_online.thisN,Conj_unsync_online.thisIndex,Conj_unsync_online.ran,condA,condB,ord,colour,syllable_catch.rt
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,,,,,,,,,space,,0,0,0,2,1,Online_conjL1_un//d.ne.ni18.none.none.wav,none,none,fa,ro,fo,sil,ta,ri,lu,sil1,be,la,sil2,,,,,,,,,,0.385
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,,,,,,,,,space,,0,1,1,1,1,Online_conjL1_un//d.ne.ni17.0.1110.wav,0,1110,ne,la,ro,sil,ta,ni,ri,sil1,be,cho,sil2,,,,,,,,,,0.421
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,1,Online_conjL1_un//d.ne.ni16.444.1110.wav,444,1110,ze,zu,ne,sil,ta,ni,fo,sil1,be,cho,sil2,,,,,,,,,,
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,Online_conjL1_un//d.ne.ni19.none.none.wav,none,none,zu,fa,ri,sil,pu,lu,la,sil1,ki,ze,sil2,,,,,,,,,,
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,ne,ni,112:116,orange,
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,,,,,,,,,space,,0,0,0,3,1,Online_conjL1_un//b.ta.be31.888.1776.wav,888,1776,la,cho,zu,sil,ta,ne,ri,sil1,be,ze,sil2,,,,,,,,,,1.674
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,1,Online_conjL1_un//b.ta.be30.none.none.wav,none,none,pu,fa,lu,sil,ki,ni,ne,sil1,ri,ro,sil2,,,,,,,,,,
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,,,,,,,,,space,,0,2,2,1,1,Online_conjL1_un//b.ta.be29.0.888.wav,0,888,ta,ze,lu,sil,be,la,zu,sil1,fo,fa,sil2,,,,,,,,,,0.956
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,,,,,,,,,space,,0,3,3,0,1,Online_conjL1_un//b.ta.be28.0.888.wav,0,888,ta,fo,ni,sil,be,ze,ne,sil1,fa,ri,sil2,,,,,,,,,,0.419
,,540809,001,A,2023-06-20_18h40.42.965,Unsyncopated1,2022.2.5,MacIntel,62.81407035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,22,1,ta,be,60:64,blue,
