key_resp1.keys,key_resp1.rt,participant,session,group,date,expName,psychopyVersion,OS,frameRate,key_resp_6.keys,key_resp_6.rt,key_resp_10.keys,key_resp_10.rt,key_ressp2.keys,key_ressp2.rt,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp1_2.keys,key_resp1_2.rt,key_resp1_3.keys,key_resp1_3.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_18.keys,key_resp_18.rt,key_resp_7.keys,key_resp_7.rt,key_resp1_4.keys,key_resp1_4.rt,syllable_catch.keys,syllable_catch.rt,key_resp_16.keys,audio1.thisRepN,audio1.thisTrialN,audio1.thisN,audio1.thisIndex,audio1.ran,dirs,timeA,timeB,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,Conj_unsync_online.thisRepN,Conj_unsync_online.thisTrialN,Conj_unsync_online.thisN,Conj_unsync_online.thisIndex,Conj_unsync_online.ran,condA,condB,ord,colour,key_resp_16.rt,key_resp4.keys,key_resp4.rt,key_resp_4.keys,key_resp_4.rt,key_resp_17.keys,key_resp_17.rt,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,security_1_7.rt,Conj_unsync_test.thisRepN,Conj_unsync_test.thisTrialN,Conj_unsync_test.thisN,Conj_unsync_test.thisIndex,Conj_unsync_test.ran,test,key_resp_13.keys,key_resp_13.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,seq,online_dir,test_dir,audio_offline
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,1,Online_conjL1_un//d.ne.ni31.none.none.wav,none,none,ta,ro,cho,sil,be,ri,lu,sil1,fo,fa,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,Online_conjL1_un//d.ne.ni28.none.none.wav,none,none,pu,ro,ri,sil,ki,la,zu,sil1,lu,cho,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,Online_conjL1_un//d.ne.ni30.none.none.wav,none,none,pu,la,ro,sil,ki,ze,fa,sil1,ri,lu,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,space,1.0867,,0,3,3,1,1,Online_conjL1_un//d.ne.ni29.0.444.wav,0,444,ne,ro,ni,sil,ta,fa,cho,sil1,be,ri,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,10,1,ne,ni,124:128,orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,space,2.1702,,0,0,0,2,1,Online_conjL1_un//b.ta.be26.888.1776.wav,888,1776,ni,ri,fa,sil,ta,zu,lu,sil1,be,ze,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,Online_conjL1_un//b.ta.be24.888.1776.wav,888,1776,ze,ne,ri,sil,ta,fa,la,sil1,be,fo,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,space,1.667,,0,2,2,1,1,Online_conjL1_un//b.ta.be25.0.888.wav,0,888,ta,la,lu,sil,be,cho,zu,sil1,ne,ro,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,space,2.1092,,0,3,3,3,1,Online_conjL1_un//b.ta.be27.888.1776.wav,888,1776,fo,ni,lu,sil,ta,ne,ro,sil1,be,fa,sil2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,473101,001,B,2023-06-13_18h23.38.172,Unsyncopated1,2022.2.5,Win32,59.94125757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,15,1,ta,be,56:60,blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
