,participant,condition_off,expName,test_offline,block_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,accuracy,Partz_no_partm.rt,security_1_7.keys,n_lang,n_lang_used,partiture,tendence_mix_lan,music_use,bilingual,ability_learn_l2,music_exp,BMRQ_score,age,sex,hand,group,education_level,mus_exp_age,info_index,sec_rate_merged
47, s154,RB+,Experiment4_uns,testConjL4Uns//dep_viol.r1.s2.0.wav,2.0,unsyncopated,a,s2,no_rule,dep,L4,m,1,0.478,2.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,4,Unsecure
48, s154,B,Experiment4_uns,testWhenL2Uns//cat_viol.r2.s2.0.wav,3.0,unsyncopated,b,s2,no_rule,cat,L2,z,0,0.482,7.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,1,Secure
49, s154,B,Experiment4_uns,testWhenL2Uns//time_viol.r2.s1.0.wav,3.0,unsyncopated,b,s1,no_rule,time,L2,z,0,1.284,4.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,1,Uncertain
50, s154,B,Experiment4_uns,testWhenL2Uns//cat_viol.r1.s1.0.wav,3.0,unsyncopated,a,s1,no_rule,cat,L2,m,1,0.417,1.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,1,Unsecure
51, s154,B,Experiment4_uns,testWhenL2Uns//r1.s1.2.wav,3.0,unsyncopated,a,s1,rule,rule,L2,m,0,0.244,4.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,1,Uncertain
52, s154,B,Experiment4_uns,testWhenL2Uns//dep_viol.r1.s1.0.wav,3.0,unsyncopated,a,s1,no_rule,dep,L2,m,1,0.31,5.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,1,Uncertain
53, s154,B,Experiment4_uns,testWhenL2Uns//time_viol.r2.s2.0.wav,3.0,unsyncopated,b,s2,no_rule,time,L2,m,1,0.155,2.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,1,Unsecure
54, s154,B,Experiment4_uns,testWhenL2Uns//cat_viol.r1.s2.0.wav,3.0,unsyncopated,a,s2,no_rule,cat,L2,m,1,0.438,7.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,1,Secure
55, s154,B,Experiment4_uns,testWhenL2Uns//r1.s1.0.wav,3.0,unsyncopated,a,s1,rule,rule,L2,z,1,0.325,3.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,1,Uncertain
56, s154,B,Experiment4_uns,testWhenL2Uns//dep_viol.r2.s2.0.wav,3.0,unsyncopated,b,s2,no_rule,dep,L2,z,0,0.26,7.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,1,Secure
57, s154,B,Experiment4_uns,testWhenL2Uns//time_viol.r1.s1.0.wav,3.0,unsyncopated,a,s1,no_rule,time,L2,z,0,0.3,4.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,1,Uncertain
58, s154,B,Experiment4_uns,testWhenL2Uns//r2.s2.1.wav,3.0,unsyncopated,b,s2,rule,rule,L2,z,1,0.458,5.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,1,Uncertain
59, s154,B,Experiment4_uns,testWhenL2Uns//r2.s1.2.wav,3.0,unsyncopated,b,s1,rule,rule,L2,z,1,0.234,6.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,1,Secure
60, s154,B,Experiment4_uns,testWhenL2Uns//r2.s1.1.wav,3.0,unsyncopated,b,s1,rule,rule,L2,m,0,0.617,1.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,1,Unsecure
61, s154,B,Experiment4_uns,testWhenL2Uns//dep_viol.r2.s1.0.wav,3.0,unsyncopated,b,s1,no_rule,dep,L2,m,1,0.236,2.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,1,Unsecure
62, s154,B,Experiment4_uns,testWhenL2Uns//r1.s2.0.wav,3.0,unsyncopated,a,s2,rule,rule,L2,z,1,0.7,7.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,1,Secure
63, s154,B,Experiment4_uns,testWhenL2Uns//r1.s1.1.wav,3.0,unsyncopated,a,s1,rule,rule,L2,m,0,0.354,1.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,1,Unsecure
64, s154,B,Experiment4_uns,testWhenL2Uns//dep_viol.r1.s2.0.wav,3.0,unsyncopated,a,s2,no_rule,dep,L2,z,0,0.288,5.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,1,Uncertain
65, s154,B,Experiment4_uns,testWhenL2Uns//r2.s2.2.wav,3.0,unsyncopated,b,s2,rule,rule,L2,z,1,1.092,6.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,1,Secure
66, s154,B,Experiment4_uns,testWhenL2Uns//cat_viol.r2.s1.0.wav,3.0,unsyncopated,b,s1,no_rule,cat,L2,z,0,1.91,3.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,1,Uncertain
67, s154,B,Experiment4_uns,testWhenL2Uns//r2.s1.0.wav,3.0,unsyncopated,b,s1,rule,rule,L2,m,0,0.367,2.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,1,Unsecure
68, s154,B,Experiment4_uns,testWhenL2Uns//r1.s2.1.wav,3.0,unsyncopated,a,s2,rule,rule,L2,m,0,0.169,5.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,1,Uncertain
69, s154,B,Experiment4_uns,testWhenL2Uns//time_viol.r1.s2.0.wav,3.0,unsyncopated,a,s2,no_rule,time,L2,z,0,0.352,7.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,1,Secure
70, s154,B,Experiment4_uns,testWhenL2Uns//r1.s2.2.wav,3.0,unsyncopated,a,s2,rule,rule,L2,z,1,2.318,1.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,1,Unsecure
71, s154,B,Experiment4_uns,testWhenL2Uns//r2.s2.0.wav,3.0,unsyncopated,b,s2,rule,rule,L2,z,1,0.712,2.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,1,Unsecure
72, s154,R,Experiment4_uns,testWhatL1Uns//dep_viol.r2.s2.0.wav,4.0,unsyncopated,b,s2,no_rule,dep,L1,m,1,1.666,1.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,2,Unsecure
73, s154,R,Experiment4_uns,testWhatL1Uns//r1.s2.2.wav,4.0,unsyncopated,a,s2,rule,rule,L1,z,1,0.584,7.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,2,Secure
74, s154,R,Experiment4_uns,testWhatL1Uns//cat_viol.r2.s2.0.wav,4.0,unsyncopated,b,s2,no_rule,cat,L1,m,1,0.4,2.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,2,Unsecure
75, s154,R,Experiment4_uns,testWhatL1Uns//r2.s1.2.wav,4.0,unsyncopated,b,s1,rule,rule,L1,m,0,0.551,3.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,2,Uncertain
76, s154,R,Experiment4_uns,testWhatL1Uns//time_viol.r2.s1.0.wav,4.0,unsyncopated,b,s1,no_rule,time,L1,z,0,0.238,4.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,2,Uncertain
77, s154,R,Experiment4_uns,testWhatL1Uns//cat_viol.r1.s2.0.wav,4.0,unsyncopated,a,s2,no_rule,cat,L1,z,0,0.775,7.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,2,Secure
78, s154,R,Experiment4_uns,testWhatL1Uns//r2.s2.1.wav,4.0,unsyncopated,b,s2,rule,rule,L1,m,0,1.484,1.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,2,Unsecure
79, s154,R,Experiment4_uns,testWhatL1Uns//r2.s2.0.wav,4.0,unsyncopated,b,s2,rule,rule,L1,z,1,0.136,5.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,2,Uncertain
80, s154,R,Experiment4_uns,testWhatL1Uns//r2.s2.2.wav,4.0,unsyncopated,b,s2,rule,rule,L1,m,0,1.467,3.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,2,Uncertain
81, s154,R,Experiment4_uns,testWhatL1Uns//cat_viol.r2.s1.0.wav,4.0,unsyncopated,b,s1,no_rule,cat,L1,z,0,0.273,4.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,2,Uncertain
82, s154,R,Experiment4_uns,testWhatL1Uns//dep_viol.r1.s2.0.wav,4.0,unsyncopated,a,s2,no_rule,dep,L1,m,1,0.152,2.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,2,Unsecure
83, s154,R,Experiment4_uns,testWhatL1Uns//r1.s2.1.wav,4.0,unsyncopated,a,s2,rule,rule,L1,z,1,0.067,4.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,2,Uncertain
84, s154,R,Experiment4_uns,testWhatL1Uns//r1.s2.0.wav,4.0,unsyncopated,a,s2,rule,rule,L1,m,0,1.483,1.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,2,Unsecure
85, s154,R,Experiment4_uns,testWhatL1Uns//r1.s1.0.wav,4.0,unsyncopated,a,s1,rule,rule,L1,z,1,0.484,1.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,2,Unsecure
86, s154,R,Experiment4_uns,testWhatL1Uns//dep_viol.r1.s1.0.wav,4.0,unsyncopated,a,s1,no_rule,dep,L1,m,1,0.738,1.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,2,Unsecure
87, s154,R,Experiment4_uns,testWhatL1Uns//cat_viol.r1.s1.0.wav,4.0,unsyncopated,a,s1,no_rule,cat,L1,z,0,0.3,3.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,2,Uncertain
88, s154,R,Experiment4_uns,testWhatL1Uns//r1.s1.1.wav,4.0,unsyncopated,a,s1,rule,rule,L1,m,0,0.271,2.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,2,Unsecure
89, s154,R,Experiment4_uns,testWhatL1Uns//dep_viol.r2.s1.0.wav,4.0,unsyncopated,b,s1,no_rule,dep,L1,m,1,1.736,7.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,2,Secure
90, s154,R,Experiment4_uns,testWhatL1Uns//time_viol.r2.s2.0.wav,4.0,unsyncopated,b,s2,no_rule,time,L1,m,1,0.058,6.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,2,Secure
91, s154,R,Experiment4_uns,testWhatL1Uns//time_viol.r1.s1.0.wav,4.0,unsyncopated,a,s1,no_rule,time,L1,z,0,0.039,6.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,2,Secure
92, s154,R,Experiment4_uns,testWhatL1Uns//r1.s1.2.wav,4.0,unsyncopated,a,s1,rule,rule,L1,z,1,0.386,4.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,2,Uncertain
93, s154,R,Experiment4_uns,testWhatL1Uns//r2.s1.0.wav,4.0,unsyncopated,b,s1,rule,rule,L1,m,0,0.367,4.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,2,Uncertain
94, s154,R,Experiment4_uns,testWhatL1Uns//time_viol.r1.s2.0.wav,4.0,unsyncopated,a,s2,no_rule,time,L1,z,0,1.351,3.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,2,Uncertain
95, s154,R,Experiment4_uns,testWhatL1Uns//r2.s1.1.wav,4.0,unsyncopated,b,s1,rule,rule,L1,z,1,0.51,5.0,2.0,2.0,yes,4.0,no,yes,3.0,no,68.0,25.0,masculino,right,A,Bachelor degree,0.0,2,Uncertain
