,participant,condition,expName,group,age,sex,hand,education_level,block,language,BMRQ_score,music_exp,n_lang,n_lang_used,ability_learn_l2,tendence_mix_lan,partiture,music_use,meanRTs,syllable,info_index
50,s121,B,Unsyncopated_study3,A,21.0,feminino,right,Upper secondary,1,L1,67.0,no,3.0,2.0,3.0,4.0,no,no,0.0857620879120603,A,1
51,s121,B,Unsyncopated_study3,A,21.0,feminino,right,Upper secondary,1,L1,67.0,no,3.0,2.0,3.0,4.0,no,no,0.11382805429861742,C,1
52,s122,B,Unsyncopated_study3,A,19.0,feminino,right,Upper secondary,1,L1,80.0,yes,4.0,2.0,4.0,2.0,yes,no,0.07905220588429418,C,1
53,s122,B,Unsyncopated_study3,A,19.0,feminino,right,Upper secondary,1,L1,80.0,yes,4.0,2.0,4.0,2.0,yes,no,0.10592720588431148,A,1
54,s123,B,Unsyncopated_study3,A,24.0,masculino,right,Upper secondary,1,L1,66.0,yes,4.0,2.0,5.0,3.0,yes,no,-0.029531092436864137,C,1
55,s123,B,Unsyncopated_study3,A,24.0,masculino,right,Upper secondary,1,L1,66.0,yes,4.0,2.0,5.0,3.0,yes,no,0.07461176470592334,A,1
56,s124,B,Unsyncopated_study3,A,20.0,feminino,right,Upper secondary,3,L1,68.0,yes,3.0,2.0,3.0,3.0,yes,no,0.03385602237465579,C,1
57,s124,B,Unsyncopated_study3,A,20.0,feminino,right,Upper secondary,3,L1,68.0,yes,3.0,2.0,3.0,3.0,yes,no,0.10092072830748688,A,1
58,s125,B,Unsyncopated_study3,A,18.0,feminino,right,Upper secondary,2,L1,69.0,yes,3.0,2.0,1.0,6.0,yes,no,-0.0024615384614756763,C,1
59,s125,B,Unsyncopated_study3,A,18.0,feminino,right,Upper secondary,2,L1,69.0,yes,3.0,2.0,1.0,6.0,yes,no,0.19579487179481947,A,1
60,s126,B,Unsyncopated_study3,A,21.0,feminino,right,Bachelor degree,3,L1,77.0,yes,4.0,3.0,4.0,5.0,yes,no,0.03074313726459088,A,1
61,s126,B,Unsyncopated_study3,A,21.0,feminino,right,Bachelor degree,3,L1,77.0,yes,4.0,3.0,4.0,5.0,yes,no,0.06920647060411111,C,1
62,s128,B,Unsyncopated_study3,A,18.0,masculino,right,Upper secondary,4,L1,57.0,yes,3.0,2.0,2.0,2.0,yes,no,-0.06877745096977195,C,1
63,s128,B,Unsyncopated_study3,A,18.0,masculino,right,Upper secondary,4,L1,57.0,yes,3.0,2.0,2.0,2.0,yes,no,-0.06284487176038767,A,1
64,s129,B,Unsyncopated_study3,A,18.0,masculino,right,Upper secondary,3,L1,71.0,yes,4.0,3.0,4.0,3.0,yes,no,0.054399671050567644,A,1
65,s129,B,Unsyncopated_study3,A,18.0,masculino,right,Upper secondary,3,L1,71.0,yes,4.0,3.0,4.0,3.0,yes,no,0.06328717105727988,C,1
66,s130,B,Unsyncopated_study3,A,19.0,feminino,right,Bachelor degree,1,L1,70.0,yes,5.0,3.0,3.0,5.0,no,no,0.03877254902613536,C,1
67,s130,B,Unsyncopated_study3,A,19.0,feminino,right,Bachelor degree,1,L1,70.0,yes,5.0,3.0,3.0,5.0,no,no,0.10648366012797383,A,1
68,s131,B,Unsyncopated_study3,A,18.0,feminino,right,Bachelor degree,2,L1,59.0,yes,4.0,3.0,5.0,6.0,yes,no,-0.03126555555555566,C,1
69,s131,B,Unsyncopated_study3,A,18.0,feminino,right,Bachelor degree,2,L1,59.0,yes,4.0,3.0,5.0,6.0,yes,no,-0.020140000000000158,A,1
70,s134,B,Unsyncopated_study3,B,19.0,feminino,right,Upper secondary,2,L1,73.0,yes,3.0,2.0,5.0,2.0,yes,yes,0.04207000000692496,A,1
71,s134,B,Unsyncopated_study3,B,19.0,feminino,right,Upper secondary,2,L1,73.0,yes,3.0,2.0,5.0,2.0,yes,yes,0.11216444444640139,C,1
72,s135,B,Unsyncopated_study3,B,20.0,feminino,right,Bachelor degree,4,L1,68.0,yes,5.0,4.0,5.0,4.0,yes,no,-0.018907692307761348,A,1
73,s135,B,Unsyncopated_study3,B,20.0,feminino,right,Bachelor degree,4,L1,68.0,yes,5.0,4.0,5.0,4.0,yes,no,0.1331142857143387,C,1
74,s136,B,Unsyncopated_study3,B,22.0,feminino,right,Upper secondary,4,L1,68.0,no,3.0,2.0,3.0,3.0,no,no,0.021281250020919074,A,1
75,s136,B,Unsyncopated_study3,B,22.0,feminino,right,Upper secondary,4,L1,68.0,no,3.0,2.0,3.0,3.0,no,no,0.04332333335086347,C,1
76,s137,B,Unsyncopated_study3,B,20.0,feminino,left,Upper secondary,2,L1,61.0,no,3.0,4.0,4.0,4.0,no,no,0.04362142848180761,A,1
77,s137,B,Unsyncopated_study3,B,20.0,feminino,left,Upper secondary,2,L1,61.0,no,3.0,4.0,4.0,4.0,no,no,0.09677499999797112,C,1
78,s138,B,Unsyncopated_study3,B,22.0,feminino,right,Bachelor degree,3,L1,74.0,yes,3.0,3.0,4.0,3.0,yes,no,0.04695137264763494,A,1
79,s138,B,Unsyncopated_study3,B,22.0,feminino,right,Bachelor degree,3,L1,74.0,yes,3.0,3.0,4.0,3.0,yes,no,0.18218666671224248,C,1
80,s139,B,Unsyncopated_study3,B,31.0,feminino,right,Doctorate,3,L1,71.0,yes,3.0,2.0,3.0,6.0,yes,no,-0.08218452382791952,A,1
81,s139,B,Unsyncopated_study3,B,31.0,feminino,right,Doctorate,3,L1,71.0,yes,3.0,2.0,3.0,6.0,yes,no,0.003834999972527897,C,1
82,s14,B,Unsyncopated1,A,32.0,masculino,right,Bachelor degree,1,L3,43.0,no,2.0,1.0,2.0,3.0,no,no,0.02141454546779653,A,1
83,s14,B,Unsyncopated1,A,32.0,masculino,right,Bachelor degree,1,L3,43.0,no,2.0,1.0,2.0,3.0,no,no,0.08546079545943452,C,1
84,s140,B,Unsyncopated_study3,B,21.0,feminino,right,Bachelor degree,3,L1,77.0,yes,3.0,2.0,4.0,4.0,yes,no,0.023334841676321272,C,1
85,s140,B,Unsyncopated_study3,B,21.0,feminino,right,Bachelor degree,3,L1,77.0,yes,3.0,2.0,4.0,4.0,yes,no,0.09148307701991476,A,1
86,s141,B,Unsyncopated_study3,B,21.0,masculino,right,Upper secondary,3,L1,51.0,yes,6.0,2.0,5.0,1.0,yes,no,0.06463436532472977,A,1
87,s141,B,Unsyncopated_study3,B,21.0,masculino,right,Upper secondary,3,L1,51.0,yes,6.0,2.0,5.0,1.0,yes,no,0.11385789473655927,C,1
88,s143,B,Unsyncopated_study3,B,18.0,masculino,right,Upper secondary,4,L1,60.0,no,3.0,3.0,5.0,4.0,no,no,0.04106611841884922,A,1
89,s143,B,Unsyncopated_study3,B,18.0,masculino,right,Upper secondary,4,L1,60.0,no,3.0,3.0,5.0,4.0,no,no,0.057758479504549154,C,1
90,s144,B,Unsyncopated_study3,B,24.0,feminino,right,Bachelor degree,1,L1,62.0,yes,4.0,2.0,4.0,2.0,yes,no,0.06928055555002632,A,1
91,s144,B,Unsyncopated_study3,B,24.0,feminino,right,Bachelor degree,1,L1,62.0,yes,4.0,2.0,4.0,2.0,yes,no,0.07317614379790238,C,1
92,s145,B,Unsyncopated_study3,B,25.0,masculino,right,Upper secondary,3,L1,49.0,yes,3.0,2.0,4.0,2.0,no,no,0.012596726168875305,A,1
93,s145,B,Unsyncopated_study3,B,25.0,masculino,right,Upper secondary,3,L1,49.0,yes,3.0,2.0,4.0,2.0,no,no,0.050149299692365146,C,1
94,s146,B,Unsyncopated_study3,B,18.0,feminino,right,Upper secondary,3,L1,79.0,no,3.0,2.0,4.0,1.0,yes,no,0.013954545454572753,A,1
95,s146,B,Unsyncopated_study3,B,18.0,feminino,right,Upper secondary,3,L1,79.0,no,3.0,2.0,4.0,1.0,yes,no,0.07253146853152936,C,1
96,s147,B,Unsyncopated_study3,B,18.0,feminino,left,Upper secondary,1,L1,77.0,no,4.0,2.0,4.0,3.0,yes,no,0.08084156862906144,C,1
97,s147,B,Unsyncopated_study3,B,18.0,feminino,left,Upper secondary,1,L1,77.0,no,4.0,2.0,4.0,3.0,yes,no,0.09867285068245868,A,1
98,s148,B,Unsyncopated_study3,A,21.0,feminino,right,Upper secondary,1,L1,54.0,yes,3.0,2.0,3.0,3.0,no,no,-0.03219235292638978,A,1
99,s148,B,Unsyncopated_study3,A,21.0,feminino,right,Upper secondary,1,L1,54.0,yes,3.0,2.0,3.0,3.0,no,no,0.10970874999910174,C,1
100,s149,B,Unsyncopated_study3,B,36.0,masculino,left,Secondary,2,L1,54.0,yes,3.0,3.0,4.0,2.0,yes,no,0.04642857142854662,A,1
101,s149,B,Unsyncopated_study3,B,36.0,masculino,left,Secondary,2,L1,54.0,yes,3.0,3.0,4.0,2.0,yes,no,0.06966666666513399,C,1
102,s15,B,Unsyncopated1,A,27.0,masculino,right,Bachelor degree,4,L3,64.0,yes,3.0,2.0,4.0,4.0,yes,no,-0.07008999954863604,A,1
103,s15,B,Unsyncopated1,A,27.0,masculino,right,Bachelor degree,4,L3,64.0,yes,3.0,2.0,4.0,4.0,yes,no,0.05254666636795269,C,1
104,s150,B,Unsyncopated_study3,A,29.0,masculino,right,Master degree,2,L1,61.0,no,2.0,2.0,4.0,1.0,no,no,-0.004373626351410698,C,1
105,s150,B,Unsyncopated_study3,A,29.0,masculino,right,Master degree,2,L1,61.0,no,2.0,2.0,4.0,1.0,no,no,0.08047857141486969,A,1
106,s151,B,Unsyncopated_study3,B,27.0,feminino,right,Bachelor degree,3,L1,72.0,no,3.0,2.0,3.0,0.0,no,no,0.06079185520347252,A,1
107,s151,B,Unsyncopated_study3,B,27.0,feminino,right,Bachelor degree,3,L1,72.0,no,3.0,2.0,3.0,0.0,no,no,0.08842788461529993,C,1
108,s152,B,Experiment4_uns,A,22.0,feminino,right,Bachelor degree,3,L2,56.0,yes,4.0,1.0,3.0,3.0,no,no,0.0035458874455337464,C,1
109,s152,B,Experiment4_uns,A,22.0,feminino,right,Bachelor degree,3,L2,56.0,yes,4.0,1.0,3.0,3.0,no,no,0.012244817928591112,A,1
110,s153,B,Experiment4_uns,A,24.0,feminino,right,Bachelor degree,3,L2,44.0,yes,6.0,5.0,5.0,5.0,no,no,-0.1557549019608483,C,1
111,s153,B,Experiment4_uns,A,24.0,feminino,right,Bachelor degree,3,L2,44.0,yes,6.0,5.0,5.0,5.0,no,no,-0.08000490196071364,A,1
112,s155,B,Experiment4_uns,A,23.0,masculino,right,Bachelor degree,3,L2,48.0,no,3.0,1.0,1.0,3.0,no,no,-0.23022857144097275,C,1
113,s155,B,Experiment4_uns,A,23.0,masculino,right,Bachelor degree,3,L2,48.0,no,3.0,1.0,1.0,3.0,no,no,-0.11394523810768908,A,1
114,s156,B,Experiment4_uns,A,22.0,feminino,left,Master degree,3,L2,72.0,yes,3.0,3.0,5.0,4.0,yes,yes,-0.06899523810890973,C,1
115,s156,B,Experiment4_uns,A,22.0,feminino,left,Master degree,3,L2,72.0,yes,3.0,3.0,5.0,4.0,yes,yes,0.050624761840297294,A,1
