Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,age_M5,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
274,2024-04-14_12h17.41.768,Experiment4_uns, s154,25.0,masculino,right,España,Catalán y castellano,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,18,Online_whenL2//a.du3.none.wav,me,mi,te,sil,cha,go,ñu,sil1,fe,si,sil2,['-'],,,none,none,,,,du,2,,,,,,,,,,,,,,,2.0,2 ,Catalán,1.0,Castellano,1.0,3.0,4.0,no,no,yes,Ninguno,0, ,,,nada,68.0,yes
275,2024-04-14_12h17.41.768,Experiment4_uns, s154,25.0,masculino,right,España,Catalán y castellano,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,19,Online_whenL2//a.du0.888.wav,ñu,ba,ra,sil,du,su,ño,sil1,cha,te,sil2,['catch'],[1.637000000000171],[1.637000000000171],0.888,beat,0.749000000000171,0.749000000000171,"[""space""]",du,2,,,,,,,,,,,,,,,2.0,2 ,Catalán,1.0,Castellano,1.0,3.0,4.0,no,no,yes,Ninguno,0, ,,,nada,68.0,yes
276,2024-04-14_12h17.41.768,Experiment4_uns, s154,25.0,masculino,right,España,Catalán y castellano,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,20,Online_whenL2//c.cha20.none.wav,fe,ño,mi,sil,ra,su,ba,sil1,ñu,to,sil2,['-'],,,none,none,,,,cha,3,,,,,,,,,,,,,,,2.0,2 ,Catalán,1.0,Castellano,1.0,3.0,4.0,no,no,yes,Ninguno,0, ,,,nada,68.0,yes
277,2024-04-14_12h17.41.768,Experiment4_uns, s154,25.0,masculino,right,España,Catalán y castellano,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,21,Online_whenL2//c.cha21.1998.wav,si,du,ñu,sil,mi,go,to,sil1,ño,cha,sil2,['miss'],,,1.998,no_beat,,,,cha,3,,,,,,,,,,,,,,,2.0,2 ,Catalán,1.0,Castellano,1.0,3.0,4.0,no,no,yes,Ninguno,0, ,,,nada,68.0,yes
278,2024-04-14_12h17.41.768,Experiment4_uns, s154,25.0,masculino,right,España,Catalán y castellano,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,22,Online_whenL2//c.cha23.none.wav,me,ba,fe,sil,ño,ñu,mi,sil1,go,te,sil2,['-'],,,none,none,,,,cha,3,,,,,,,,,,,,,,,2.0,2 ,Catalán,1.0,Castellano,1.0,3.0,4.0,no,no,yes,Ninguno,0, ,,,nada,68.0,yes
279,2024-04-14_12h17.41.768,Experiment4_uns, s154,25.0,masculino,right,España,Catalán y castellano,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,23,Online_whenL2//c.cha22.none.wav,ra,to,mi,sil,bi,te,ba,sil1,fe,ñu,sil2,['-'],,,none,none,,,,cha,3,,,,,,,,,,,,,,,2.0,2 ,Catalán,1.0,Castellano,1.0,3.0,4.0,no,no,yes,Ninguno,0, ,,,nada,68.0,yes
280,2024-04-14_12h17.41.768,Experiment4_uns, s154,25.0,masculino,right,España,Catalán y castellano,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,24,Online_whenL2//b.fe8.none.wav,su,to,go,sil,mi,ra,si,sil1,ba,ñu,sil2,['-'],,,none,none,,,,fe,1,,,,,,,,,,,,,,,2.0,2 ,Catalán,1.0,Castellano,1.0,3.0,4.0,no,no,yes,Ninguno,0, ,,,nada,68.0,yes
281,2024-04-14_12h17.41.768,Experiment4_uns, s154,25.0,masculino,right,España,Catalán y castellano,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,25,Online_whenL2//b.fe10.none.wav,to,du,su,sil,mi,ño,ba,sil1,bi,ra,sil2,['-'],,,none,none,,,,fe,1,,,,,,,,,,,,,,,2.0,2 ,Catalán,1.0,Castellano,1.0,3.0,4.0,no,no,yes,Ninguno,0, ,,,nada,68.0,yes
282,2024-04-14_12h17.41.768,Experiment4_uns, s154,25.0,masculino,right,España,Catalán y castellano,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,26,Online_whenL2//b.fe11.1332.wav,ba,bi,go,sil,su,mi,fe,sil1,si,me,sil2,['catch'],[1.9209999999998217],[1.9209999999998217],1.332,no_beat,0.5889999999998217,0.5889999999998217,"[""space""]",fe,1,,,,,,,,,,,,,,,2.0,2 ,Catalán,1.0,Castellano,1.0,3.0,4.0,no,no,yes,Ninguno,0, ,,,nada,68.0,yes
283,2024-04-14_12h17.41.768,Experiment4_uns, s154,25.0,masculino,right,España,Catalán y castellano,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,27,Online_whenL2//b.fe9.none.wav,du,ñu,su,sil,te,to,go,sil1,ño,me,sil2,['-'],,,none,none,,,,fe,1,,,,,,,,,,,,,,,2.0,2 ,Catalán,1.0,Castellano,1.0,3.0,4.0,no,no,yes,Ninguno,0, ,,,nada,68.0,yes
284,2024-04-14_12h17.41.768,Experiment4_uns, s154,25.0,masculino,right,España,Catalán y castellano,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,28,Online_whenL2//b.fe12.none.wav,su,si,te,sil,cha,go,ñu,sil1,to,du,sil2,['-'],,,none,none,,,,fe,1,,,,,,,,,,,,,,,2.0,2 ,Catalán,1.0,Castellano,1.0,3.0,4.0,no,no,yes,Ninguno,0, ,,,nada,68.0,yes
285,2024-04-14_12h17.41.768,Experiment4_uns, s154,25.0,masculino,right,España,Catalán y castellano,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,29,Online_whenL2//b.fe14.none.wav,ra,du,ba,sil,to,bi,su,sil1,te,ñu,sil2,['-'],,,none,none,,,,fe,1,,,,,,,,,,,,,,,2.0,2 ,Catalán,1.0,Castellano,1.0,3.0,4.0,no,no,yes,Ninguno,0, ,,,nada,68.0,yes
286,2024-04-14_12h17.41.768,Experiment4_uns, s154,25.0,masculino,right,España,Catalán y castellano,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,30,Online_whenL2//b.fe13.none.wav,te,su,ra,sil,si,go,ba,sil1,me,mi,sil2,['-'],,,none,none,,,,fe,1,,,,,,,,,,,,,,,2.0,2 ,Catalán,1.0,Castellano,1.0,3.0,4.0,no,no,yes,Ninguno,0, ,,,nada,68.0,yes
287,2024-04-14_12h17.41.768,Experiment4_uns, s154,25.0,masculino,right,España,Catalán y castellano,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,31,Online_whenL2//b.fe15.none.wav,ño,su,to,sil,du,me,go,sil1,cha,mi,sil2,['-'],,,none,none,,,,fe,1,,,,,,,,,,,,,,,2.0,2 ,Catalán,1.0,Castellano,1.0,3.0,4.0,no,no,yes,Ninguno,0, ,,,nada,68.0,yes
288,2024-04-14_12h17.41.768,Experiment4_uns, s154,25.0,masculino,right,España,Catalán y castellano,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,32,Online_whenL2//d.si5.1332.wav,to,fe,ra,sil,me,cha,si,sil1,su,te,sil2,['catch'],[1.7789999999999964],[1.7789999999999964],1.332,no_beat,0.4469999999999963,0.4469999999999963,"[""space""]",si,4,,,,,,,,,,,,,,,2.0,2 ,Catalán,1.0,Castellano,1.0,3.0,4.0,no,no,yes,Ninguno,0, ,,,nada,68.0,yes
289,2024-04-14_12h17.41.768,Experiment4_uns, s154,25.0,masculino,right,España,Catalán y castellano,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,33,Online_whenL2//d.si4.444.wav,to,ra,si,sil,me,ñu,go,sil1,ño,mi,sil2,['catch'],[1.0249999999996362],[1.0249999999996362],0.444,no_beat,0.5809999999996363,0.5809999999996363,"[""space""]",si,4,,,,,,,,,,,,,,,2.0,2 ,Catalán,1.0,Castellano,1.0,3.0,4.0,no,no,yes,Ninguno,0, ,,,nada,68.0,yes
290,2024-04-14_12h17.41.768,Experiment4_uns, s154,25.0,masculino,right,España,Catalán y castellano,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,34,Online_whenL2//d.si7.none.wav,go,cha,te,sil,fe,ñu,ba,sil1,mi,to,sil2,['-'],,,none,none,,,,si,4,,,,,,,,,,,,,,,2.0,2 ,Catalán,1.0,Castellano,1.0,3.0,4.0,no,no,yes,Ninguno,0, ,,,nada,68.0,yes
291,2024-04-14_12h17.41.768,Experiment4_uns, s154,25.0,masculino,right,España,Catalán y castellano,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,35,Online_whenL2//d.si6.1776.wav,te,cha,du,sil,fe,ño,me,sil1,si,bi,sil2,['catch'],[2.375],[2.375],1.776,beat,0.599,0.599,"[""space""]",si,4,,,,,,,,,,,,,,,2.0,2 ,Catalán,1.0,Castellano,1.0,3.0,4.0,no,no,yes,Ninguno,0, ,,,nada,68.0,yes
292,2024-04-14_12h17.41.768,Experiment4_uns, s154,25.0,masculino,right,España,Catalán y castellano,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,36,Online_whenL2//a.du23.888.wav,si,fe,to,sil,du,su,ño,sil1,me,ba,sil2,['catch'],[1.5160000000000764],[1.5160000000000764],0.888,beat,0.6280000000000764,0.6280000000000764,"[""space""]",du,2,,,,,,,,,,,,,,,2.0,2 ,Catalán,1.0,Castellano,1.0,3.0,4.0,no,no,yes,Ninguno,0, ,,,nada,68.0,yes
