Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
313,2023-11-17_09h39.01.919,Unsyncopated1,s77,22.0,feminino,right,España,castellano,Upper secondary,no,no,B,3,conjunction_un,L1,unsyncopated,s2,r1,49,Online_conjL1_un//b.ta.be10.none.none.wav,ni,lu,cho,sil,pu,fa,zu,sil1,ki,fo,sil2,['-'],,,none,none,,,,be,2,,,,,,,,,,,,,,,2.0,3.0,castellano,0.0,ingles,17.0,3.0,2.0,yes,no,no,canto,15,,,nada ,73.0,yes
314,2023-11-17_09h39.01.919,Unsyncopated1,s77,22.0,feminino,right,España,castellano,Upper secondary,no,no,B,3,conjunction_un,L1,unsyncopated,s1,r2,50,Online_conjL1_un//b.ta.be8.0.888.wav,ta,la,ne,sil,be,lu,ni,sil1,ro,fa,sil2,['catch'],[1.4764000000004671],[1.4764000000004671],0.888,beat,0.5884000000004671,0.5884000000004671,"[""space""]",be,2,,,,,,,,,,,,,,,2.0,3.0,castellano,0.0,ingles,17.0,3.0,2.0,yes,no,no,canto,15,,,nada ,73.0,yes
315,2023-11-17_09h39.01.919,Unsyncopated1,s77,22.0,feminino,right,España,castellano,Upper secondary,no,no,B,3,conjunction_un,L1,unsyncopated,s1,r2,51,Online_conjL1_un//b.ta.be11.0.888.wav,ta,fa,lu,sil,be,ni,ze,sil1,ri,ro,sil2,['catch'],[2.1500999999998385],[2.1500999999998385],0.888,beat,,1.2620999999998386,"[""space""]",be,2,,,,,,,,,,,,,,,2.0,3.0,castellano,0.0,ingles,17.0,3.0,2.0,yes,no,no,canto,15,,,nada ,73.0,yes
316,2023-11-17_09h39.01.919,Unsyncopated1,s77,22.0,feminino,right,España,castellano,Upper secondary,no,no,B,3,conjunction_un,L1,unsyncopated,s2,r1,52,Online_conjL1_un//d.ne.ni24.1110.222.wav,ri,ni,fa,sil,pu,ne,ro,sil1,ki,fo,sil2,['miss'],,,0.222,no_beat,,,,ni,4,,,,,,,,,,,,,,,2.0,3.0,castellano,0.0,ingles,17.0,3.0,2.0,yes,no,no,canto,15,,,nada ,73.0,yes
317,2023-11-17_09h39.01.919,Unsyncopated1,s77,22.0,feminino,right,España,castellano,Upper secondary,no,no,B,3,conjunction_un,L1,unsyncopated,s2,r2,53,Online_conjL1_un//d.ne.ni27.1110.0.wav,ni,fa,ri,sil,ta,ne,zu,sil1,be,la,sil2,['catch'],[0.7680000000000291],[0.7680000000000291],0.0,beat,0.7680000000000291,0.7680000000000291,"[""space""]",ni,4,,,,,,,,,,,,,,,2.0,3.0,castellano,0.0,ingles,17.0,3.0,2.0,yes,no,no,canto,15,,,nada ,73.0,yes
318,2023-11-17_09h39.01.919,Unsyncopated1,s77,22.0,feminino,right,España,castellano,Upper secondary,no,no,B,3,conjunction_un,L1,unsyncopated,s2,r1,54,Online_conjL1_un//d.ne.ni26.none.none.wav,lu,ri,ro,sil,pu,cho,fa,sil1,ki,ze,sil2,['-'],,,none,none,,,,ni,4,,,,,,,,,,,,,,,2.0,3.0,castellano,0.0,ingles,17.0,3.0,2.0,yes,no,no,canto,15,,,nada ,73.0,yes
319,2023-11-17_09h39.01.919,Unsyncopated1,s77,22.0,feminino,right,España,castellano,Upper secondary,no,no,B,3,conjunction_un,L1,unsyncopated,s1,r2,55,Online_conjL1_un//d.ne.ni25.none.none.wav,ta,fa,ze,sil,be,ro,lu,sil1,la,fo,sil2,['-'],,,none,none,,,,ni,4,,,,,,,,,,,,,,,2.0,3.0,castellano,0.0,ingles,17.0,3.0,2.0,yes,no,no,canto,15,,,nada ,73.0,yes
320,2023-11-17_09h39.01.919,Unsyncopated1,s77,22.0,feminino,right,España,castellano,Upper secondary,no,no,B,3,conjunction_un,L1,unsyncopated,s2,r1,56,Online_conjL1_un//c.ro.fo21.none.none.wav,zu,lu,cho,sil,pu,la,ne,sil1,ki,fa,sil2,['-'],,,none,none,,,,fo,3,,,,,,,,,,,,,,,2.0,3.0,castellano,0.0,ingles,17.0,3.0,2.0,yes,no,no,canto,15,,,nada ,73.0,yes
321,2023-11-17_09h39.01.919,Unsyncopated1,s77,22.0,feminino,right,España,castellano,Upper secondary,no,no,B,3,conjunction_un,L1,unsyncopated,s1,r2,57,Online_conjL1_un//c.ro.fo20.none.none.wav,ta,ri,ni,sil,be,ze,cho,sil1,la,fa,sil2,['-'],,,none,none,,,,fo,3,,,,,,,,,,,,,,,2.0,3.0,castellano,0.0,ingles,17.0,3.0,2.0,yes,no,no,canto,15,,,nada ,73.0,yes
322,2023-11-17_09h39.01.919,Unsyncopated1,s77,22.0,feminino,right,España,castellano,Upper secondary,no,no,B,3,conjunction_un,L1,unsyncopated,s1,r1,58,Online_conjL1_un//c.ro.fo22.444.1332.wav,pu,la,ro,sil,ki,ri,fo,sil1,cho,ni,sil2,['catch'],[2.2569000000003143],[2.2569000000003143],1.332,no_beat,0.9249000000003142,0.9249000000003142,"[""space""]",fo,3,,,,,,,,,,,,,,,2.0,3.0,castellano,0.0,ingles,17.0,3.0,2.0,yes,no,no,canto,15,,,nada ,73.0,yes
