Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,lang_4,age_l4,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
20,2024-01-17_13h42.16.863,Unsyncopated_study2,s93,24.0,feminino,right,España,Catalán y castellano,Bachelor degree,no,no,A,1,what,L3,unsyncopated,s2,r1,20,Online_whatL3//d.ji.li13.none.none.wav,ga,do,le,sil,chu,ko,ka,sil1,mo,di,sil2,['-'],,,none,none,,,,ji,4,testWhatL3Uns//r1.s1.0.wav,1.0,what,unsyncopated,a,s1,rule,rule,L3,m,0.2234,5.0,0.0,0.7061,4.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,Francés,13.0,4.0,1.0,yes,no,yes,Flauta,12,Ukelele ,12,,,Nada,66.0,yes
21,2024-01-17_13h42.16.863,Unsyncopated_study2,s93,24.0,feminino,right,España,Catalán y castellano,Bachelor degree,no,no,A,1,what,L3,unsyncopated,s1,r1,21,Online_whatL3//d.ji.li14.222.1110.wav,chu,ji,ko,sil,mo,li,ga,sil2,do,di,sil1,['catch'],[0.5894000000004098],[0.5894000000004098],0.222,no_beat,0.3674000000004098,0.3674000000004098,"[""space""]",ji,4,testWhatL3Uns//time_viol.r2.s2.0.wav,1.0,what,unsyncopated,b,s2,no_rule,time,L3,z,0.4529,5.0,0.0,0.9538,4.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,Francés,13.0,4.0,1.0,yes,no,yes,Flauta,12,Ukelele ,12,,,Nada,66.0,yes
22,2024-01-17_13h42.16.863,Unsyncopated_study2,s93,24.0,feminino,right,España,Catalán y castellano,Bachelor degree,no,no,A,1,what,L3,unsyncopated,s2,r1,22,Online_whatL3//d.ji.li15.222.444.wav,fu,ji,li,sil2,chu,je,ga,sil,mo,di,sil1,['catch'],[1.4234000000004698],[1.4234000000004698],0.222,no_beat,,1.20140000000047,"[""space""]",ji,4,testWhatL3Uns//r2.s2.2.wav,1.0,what,unsyncopated,b,s2,rule,rule,L3,m,0.2178,6.0,0.0,1.0677,4.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,Francés,13.0,4.0,1.0,yes,no,yes,Flauta,12,Ukelele ,12,,,Nada,66.0,yes
23,2024-01-17_13h42.16.863,Unsyncopated_study2,s93,24.0,feminino,right,España,Catalán y castellano,Bachelor degree,no,no,A,1,what,L3,unsyncopated,s1,r1,23,Online_whatL3//d.ji.li12.none.none.wav,chu,je,fu,sil,mo,ga,le,sil2,di,gu,sil1,['-'],,,none,none,,,,ji,4,testWhatL3Uns//r1.s2.2.wav,1.0,what,unsyncopated,a,s2,rule,rule,L3,z,2.2856,6.0,1.0,0.6831,4.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,Francés,13.0,4.0,1.0,yes,no,yes,Flauta,12,Ukelele ,12,,,Nada,66.0,yes
24,2024-01-17_13h42.16.863,Unsyncopated_study2,s93,24.0,feminino,right,España,Catalán y castellano,Bachelor degree,no,no,A,1,what,L3,unsyncopated,s1,r1,24,Online_whatL3//c.gu.je0.none.none.wav,chu,ko,li,sil,mo,ji,le,sil2,ga,di,sil1,['-'],,,none,none,,,,gu,3,testWhenL4Uns//r1.s2.0.wav,2.0,when,unsyncopated,a,s2,rule,rule,L4,z,0.6167,7.0,1.0,1.2662,4.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,Francés,13.0,4.0,1.0,yes,no,yes,Flauta,12,Ukelele ,12,,,Nada,66.0,yes
25,2024-01-17_13h42.16.863,Unsyncopated_study2,s93,24.0,feminino,right,España,Catalán y castellano,Bachelor degree,no,no,A,1,what,L3,unsyncopated,s1,r2,25,Online_whatL3//c.gu.je2.none.none.wav,ñe,di,fu,sil,sa,ji,ga,sil1,ko,do,sil2,['false alarm'],[0.8069000000003825],[0.8069000000003825],none,none,,,"[""space""]",gu,3,testWhenL4Uns//time_viol.r2.s2.0.wav,2.0,when,unsyncopated,b,s2,no_rule,time,L4,z,0.6009,4.0,1.0,0.8034,4.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,Francés,13.0,4.0,1.0,yes,no,yes,Flauta,12,Ukelele ,12,,,Nada,66.0,yes
26,2024-01-17_13h42.16.863,Unsyncopated_study2,s93,24.0,feminino,right,España,Catalán y castellano,Bachelor degree,no,no,A,1,what,L3,unsyncopated,s2,r1,26,Online_whatL3//c.gu.je1.222.1332.wav,di,gu,le,sil2,chu,je,ga,sil,mo,ka,sil1,['miss'],,,0.222,no_beat,,,,gu,3,testWhenL4Uns//r2.s1.2.wav,2.0,when,unsyncopated,b,s1,rule,rule,L4,z,1.97,3.0,1.0,0.387,4.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,Francés,13.0,4.0,1.0,yes,no,yes,Flauta,12,Ukelele ,12,,,Nada,66.0,yes
27,2024-01-17_13h42.16.863,Unsyncopated_study2,s93,24.0,feminino,right,España,Catalán y castellano,Bachelor degree,no,no,A,1,what,L3,unsyncopated,s1,r1,27,Online_whatL3//c.gu.je3.none.none.wav,chu,le,do,sil,mo,ji,ka,sil2,li,fu,sil1,['-'],,,none,none,,,,gu,3,testWhenL4Uns//time_viol.r1.s2.0.wav,2.0,when,unsyncopated,a,s2,no_rule,time,L4,z,1.5855,4.0,1.0,0.8203,4.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,Francés,13.0,4.0,1.0,yes,no,yes,Flauta,12,Ukelele ,12,,,Nada,66.0,yes
28,2024-01-17_13h42.16.863,Unsyncopated_study2,s93,24.0,feminino,right,España,Catalán y castellano,Bachelor degree,no,no,A,1,what,L3,unsyncopated,s1,r2,28,Online_whatL3//d.ji.li25.none.none.wav,ñe,gu,ko,sil2,sa,ka,le,sil,do,ga,sil1,['-'],,,none,none,,,,ji,4,testWhenL4Uns//r1.s1.0.wav,2.0,when,unsyncopated,a,s1,rule,rule,L4,m,1.2373,1.0,0.0,2.2381,4.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,Francés,13.0,4.0,1.0,yes,no,yes,Flauta,12,Ukelele ,12,,,Nada,66.0,yes
29,2024-01-17_13h42.16.863,Unsyncopated_study2,s93,24.0,feminino,right,España,Catalán y castellano,Bachelor degree,no,no,A,1,what,L3,unsyncopated,s2,r1,29,Online_whatL3//d.ji.li27.222.1110.wav,gu,ji,do,sil,chu,li,ga,sil1,mo,fu,sil2,['catch'],[1.9236999999992577],[1.9236999999992577],0.222,no_beat,,1.7016999999992577,"[""space""]",ji,4,testWhenL4Uns//r2.s2.1.wav,2.0,when,unsyncopated,b,s2,rule,rule,L4,z,1.3333,3.0,1.0,0.7671,4.0,2.0,Catalán,0.0,Castellano,0.0,Inglés,5.0,Francés,13.0,4.0,1.0,yes,no,yes,Flauta,12,Ukelele ,12,,,Nada,66.0,yes
