Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,lang_4,age_l4,lang_5,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
437,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,4,conjunction_syn,L3,syncopated,s1,r2,45,Online_conjL3_syn//d.ji.li15.1554.444.wav,ñe,je,li,sa,sil,ko,fu,ji,sil1,gu,sil2,['miss'],,,0.444,no_beat,,,,li,4,,,,,,,,,,,,,,,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,,, ha estabo bien ,53.0,yes
438,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,4,conjunction_syn,L3,syncopated,s2,r1,46,Online_conjL3_syn//d.ji.li12.none.none.wav,gu,ko,le,chu,sil,do,ga,mo,sil1,fu,sil2,['-'],,,none,none,,,,li,4,,,,,,,,,,,,,,,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,,, ha estabo bien ,53.0,yes
439,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,4,conjunction_syn,L3,syncopated,s1,r1,47,Online_conjL3_syn//d.ji.li13.none.none.wav,chu,je,ka,mo,sil,di,ko,fu,sil1,ga,sil2,['-'],,,none,none,,,,li,4,,,,,,,,,,,,,,,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,,, ha estabo bien ,53.0,yes
440,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,4,conjunction_syn,L3,syncopated,s2,r2,48,Online_conjL3_syn//a.chu.mo26.none.none.wav,do,ga,fu,ñe,sil,ko,di,sa,sil1,le,sil2,['-'],,,none,none,,,,chu,1,,,,,,,,,,,,,,,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,,, ha estabo bien ,53.0,yes
441,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,4,conjunction_syn,L3,syncopated,s2,r1,49,Online_conjL3_syn//a.chu.mo24.666.1554.wav,fu,je,gu,chu,sil,ga,ka,mo,sil1,le,sil2,['miss'],,,0.666,no_beat,,,,chu,1,,,,,,,,,,,,,,,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,,, ha estabo bien ,53.0,yes
442,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,4,conjunction_syn,L3,syncopated,s2,r2,50,Online_conjL3_syn//a.chu.mo27.none.none.wav,ji,li,ko,ñe,sil,di,fu,sa,sil1,le,sil2,['-'],,,none,none,,,,chu,1,,,,,,,,,,,,,,,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,,, ha estabo bien ,53.0,yes
443,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,4,conjunction_syn,L3,syncopated,s1,r1,51,Online_conjL3_syn//a.chu.mo25.0.666.wav,chu,gu,ko,mo,sil,do,ga,fu,sil1,li,sil2,['catch'],[0.6417000000033113],[0.6417000000033113],0.0,beat,0.6417000000033113,0.6417000000033113,"[""space""]",chu,1,,,,,,,,,,,,,,,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,,, ha estabo bien ,53.0,yes
444,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,4,conjunction_syn,L3,syncopated,s1,r2,52,Online_conjL3_syn//a.chu.mo19.none.none.wav,ñe,di,je,sa,sil,ga,do,fu,sil1,ji,sil2,['-'],,,none,none,,,,chu,1,,,,,,,,,,,,,,,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,,, ha estabo bien ,53.0,yes
445,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,4,conjunction_syn,L3,syncopated,s1,r2,53,Online_conjL3_syn//a.chu.mo18.none.none.wav,ñe,ka,gu,sa,sil,ko,fu,je,sil1,ga,sil2,['-'],,,none,none,,,,chu,1,,,,,,,,,,,,,,,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,,, ha estabo bien ,53.0,yes
446,2024-04-28_14h48.04.519,Experiment4_uns,s174,24 ,feminino,right,españa,"catalan,español, ",Bachelor degree,no,no,B,4,conjunction_syn,L3,syncopated,s1,r2,54,Online_conjL3_syn//a.chu.mo17.none.none.wav,ñe,do,ga,sa,sil,fu,je,ji,sil1,ko,sil2,['-'],,,none,none,,,,chu,1,,,,,,,,,,,,,,,5.0,2 o 3,español,2.0,catalan,2.0,urdu,4.0,punjabi,4.0,ingles,3.0,3.0,no,no,no,no,,,, ha estabo bien ,53.0,yes
