Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,instr_3,age_M3,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
266,2024-04-13_18h18.46.940,Experiment4_uns,s162,21.0,feminino,right,España,CatalánEspañol,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,10,Online_whenL2//d.si23.none.wav,to,mi,ba,sil,go,du,ñu,sil1,te,ño,sil2,['-'],,,none,none,,,,si,4,,,,,,,,,,,,,,,3.0,2.0,Catalán,0.0,Español,3.0,Inglés,6.0,4.0,3.0,yes,no,yes,Piano,5,Clarinete,5,Canto,5,,,Durante el último lenguaje mi cabeza ya estaba muy cansada y he empezado a tener un dolor de cabeza muy leve. ,61.0,yes
267,2024-04-13_18h18.46.940,Experiment4_uns,s162,21.0,feminino,right,España,CatalánEspañol,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,11,Online_whenL2//d.si22.none.wav,te,du,fe,sil,cha,su,ñu,sil1,me,ba,sil2,['-'],,,none,none,,,,si,4,,,,,,,,,,,,,,,3.0,2.0,Catalán,0.0,Español,3.0,Inglés,6.0,4.0,3.0,yes,no,yes,Piano,5,Clarinete,5,Canto,5,,,Durante el último lenguaje mi cabeza ya estaba muy cansada y he empezado a tener un dolor de cabeza muy leve. ,61.0,yes
268,2024-04-13_18h18.46.940,Experiment4_uns,s162,21.0,feminino,right,España,CatalánEspañol,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,12,Online_whenL2//a.du5.1110.wav,bi,ño,ra,sil,ba,du,mi,sil1,to,ñu,sil2,['miss'],,,1.11,no_beat,,,,du,2,,,,,,,,,,,,,,,3.0,2.0,Catalán,0.0,Español,3.0,Inglés,6.0,4.0,3.0,yes,no,yes,Piano,5,Clarinete,5,Canto,5,,,Durante el último lenguaje mi cabeza ya estaba muy cansada y he empezado a tener un dolor de cabeza muy leve. ,61.0,yes
269,2024-04-13_18h18.46.940,Experiment4_uns,s162,21.0,feminino,right,España,CatalánEspañol,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,13,Online_whenL2//a.du7.0.wav,du,ño,te,sil,ñu,to,mi,sil1,su,fe,sil2,['catch'],[1.0099000000059277],[1.0099000000059277],0.0,beat,1.0099000000059275,1.0099000000059275,"[""space""]",du,2,,,,,,,,,,,,,,,3.0,2.0,Catalán,0.0,Español,3.0,Inglés,6.0,4.0,3.0,yes,no,yes,Piano,5,Clarinete,5,Canto,5,,,Durante el último lenguaje mi cabeza ya estaba muy cansada y he empezado a tener un dolor de cabeza muy leve. ,61.0,yes
270,2024-04-13_18h18.46.940,Experiment4_uns,s162,21.0,feminino,right,España,CatalánEspañol,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,14,Online_whenL2//a.du6.888.wav,me,si,bi,sil,du,mi,cha,sil1,te,fe,sil2,['catch'],[2.39819999998781],[2.39819999998781],0.888,beat,,1.51019999998781,"[""space""]",du,2,,,,,,,,,,,,,,,3.0,2.0,Catalán,0.0,Español,3.0,Inglés,6.0,4.0,3.0,yes,no,yes,Piano,5,Clarinete,5,Canto,5,,,Durante el último lenguaje mi cabeza ya estaba muy cansada y he empezado a tener un dolor de cabeza muy leve. ,61.0,yes
271,2024-04-13_18h18.46.940,Experiment4_uns,s162,21.0,feminino,right,España,CatalánEspañol,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,15,Online_whenL2//a.du4.1998.wav,cha,si,go,sil,mi,ñu,me,sil1,su,du,sil2,['catch'],[2.6231000000088898],[2.6231000000088898],1.998,no_beat,0.6251000000088898,0.6251000000088898,"[""space""]",du,2,,,,,,,,,,,,,,,3.0,2.0,Catalán,0.0,Español,3.0,Inglés,6.0,4.0,3.0,yes,no,yes,Piano,5,Clarinete,5,Canto,5,,,Durante el último lenguaje mi cabeza ya estaba muy cansada y he empezado a tener un dolor de cabeza muy leve. ,61.0,yes
272,2024-04-13_18h18.46.940,Experiment4_uns,s162,21.0,feminino,right,España,CatalánEspañol,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,16,Online_whenL2//c.cha26.0.wav,cha,to,ra,sil,go,ñu,ba,sil1,bi,te,sil2,['catch'],[0.8063000000115608],[0.8063000000115608],0.0,beat,0.8063000000115608,0.8063000000115608,"[""space""]",cha,3,,,,,,,,,,,,,,,3.0,2.0,Catalán,0.0,Español,3.0,Inglés,6.0,4.0,3.0,yes,no,yes,Piano,5,Clarinete,5,Canto,5,,,Durante el último lenguaje mi cabeza ya estaba muy cansada y he empezado a tener un dolor de cabeza muy leve. ,61.0,yes
273,2024-04-13_18h18.46.940,Experiment4_uns,s162,21.0,feminino,right,España,CatalánEspañol,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,17,Online_whenL2//c.cha27.none.wav,bi,fe,mi,sil,te,ra,ño,sil1,to,ñu,sil2,['-'],,,none,none,,,,cha,3,,,,,,,,,,,,,,,3.0,2.0,Catalán,0.0,Español,3.0,Inglés,6.0,4.0,3.0,yes,no,yes,Piano,5,Clarinete,5,Canto,5,,,Durante el último lenguaje mi cabeza ya estaba muy cansada y he empezado a tener un dolor de cabeza muy leve. ,61.0,yes
274,2024-04-13_18h18.46.940,Experiment4_uns,s162,21.0,feminino,right,España,CatalánEspañol,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,18,Online_whenL2//c.cha25.888.wav,fe,ño,su,sil,cha,te,bi,sil1,me,ra,sil2,['catch'],[1.5390999999940504],[1.5390999999940504],0.888,beat,0.6510999999940504,0.6510999999940504,"[""space""]",cha,3,,,,,,,,,,,,,,,3.0,2.0,Catalán,0.0,Español,3.0,Inglés,6.0,4.0,3.0,yes,no,yes,Piano,5,Clarinete,5,Canto,5,,,Durante el último lenguaje mi cabeza ya estaba muy cansada y he empezado a tener un dolor de cabeza muy leve. ,61.0,yes
275,2024-04-13_18h18.46.940,Experiment4_uns,s162,21.0,feminino,right,España,CatalánEspañol,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,19,Online_whenL2//c.cha24.444.wav,me,bi,cha,sil,su,ra,ño,sil1,to,fe,sil2,['catch'],[1.1077000000032058],[1.1077000000032058],0.444,no_beat,0.6637000000032058,0.6637000000032058,"[""space""]",cha,3,,,,,,,,,,,,,,,3.0,2.0,Catalán,0.0,Español,3.0,Inglés,6.0,4.0,3.0,yes,no,yes,Piano,5,Clarinete,5,Canto,5,,,Durante el último lenguaje mi cabeza ya estaba muy cansada y he empezado a tener un dolor de cabeza muy leve. ,61.0,yes
276,2024-04-13_18h18.46.940,Experiment4_uns,s162,21.0,feminino,right,España,CatalánEspañol,Bachelor degree,no,no,A,3,when,L2,unsyncopated,when,when,20,Online_whenL2//d.si25.none.wav,ño,ra,me,sil,to,go,te,sil1,su,mi,sil2,['-'],,,none,none,,,,si,4,,,,,,,,,,,,,,,3.0,2.0,Catalán,0.0,Español,3.0,Inglés,6.0,4.0,3.0,yes,no,yes,Piano,5,Clarinete,5,Canto,5,,,Durante el último lenguaje mi cabeza ya estaba muy cansada y he empezado a tener un dolor de cabeza muy leve. ,61.0,yes
