Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,age_M5,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
163,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,2,when,L2,unsyncopated,when,when,35,Online_whenL2//a.du30.none.wav,fe,bi,to,sil,cha,su,ra,sil1,ño,ba,sil2,['-'],[0.15230000001201915],[0.15230000001201915],none,none,,,"[""space""]",du,1,,,,,,,,,,,,,,,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,,,nada,65.0,yes
164,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,2,when,L2,unsyncopated,when,when,36,Online_whenL2//a.du10.none.wav,cha,ño,to,sil,ra,bi,fe,sil1,ba,mi,sil2,['-'],,,none,none,,,,du,1,,,,,,,,,,,,,,,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,,,nada,65.0,yes
165,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,2,when,L2,unsyncopated,when,when,37,Online_whenL2//a.du11.1998.wav,me,te,go,sil,mi,ñu,si,sil1,bi,du,sil2,['catch'],[2.632700000047862],[2.632700000047862],1.998,no_beat,0.634700000047862,0.634700000047862,"[""space""]",du,1,,,,,,,,,,,,,,,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,,,nada,65.0,yes
166,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,2,when,L2,unsyncopated,when,when,38,Online_whenL2//a.du8.none.wav,ño,su,to,sil,go,te,bi,sil1,ra,si,sil2,['-'],,,none,none,,,,du,1,,,,,,,,,,,,,,,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,,,nada,65.0,yes
167,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,2,when,L2,unsyncopated,when,when,39,Online_whenL2//a.du9.1332.wav,bi,cha,su,sil,ñu,ba,du,sil1,ra,me,sil2,['catch'],[2.565400000035879],[2.565400000035879],1.332,no_beat,,1.2334000000358791,"[""space""]",du,1,,,,,,,,,,,,,,,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,,,nada,65.0,yes
168,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,2,when,L2,unsyncopated,when,when,40,Online_whenL2//b.fe16.1998.wav,cha,ba,te,sil,ra,ño,si,sil1,me,fe,sil2,['catch'],[2.6311000000237073],[2.6311000000237073],1.998,no_beat,0.6331000000237073,0.6331000000237073,"[""space""]",fe,2,,,,,,,,,,,,,,,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,,,nada,65.0,yes
169,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,2,when,L2,unsyncopated,when,when,41,Online_whenL2//b.fe18.none.wav,mi,go,su,sil,ba,ra,si,sil1,cha,bi,sil2,['-'],,,none,none,,,,fe,2,,,,,,,,,,,,,,,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,,,nada,65.0,yes
170,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,2,when,L2,unsyncopated,when,when,42,Online_whenL2//b.fe17.222.wav,te,fe,ño,sil,su,mi,ra,sil1,si,ñu,sil2,['catch'],[1.2584999999999127],[1.2584999999999127],0.222,no_beat,1.0364999999999127,1.0364999999999127,"[""space""]",fe,2,,,,,,,,,,,,,,,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,,,nada,65.0,yes
171,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,2,when,L2,unsyncopated,when,when,43,Online_whenL2//b.fe19.none.wav,ño,ra,su,sil,cha,du,to,sil1,si,me,sil2,['-'],,,none,none,,,,fe,2,,,,,,,,,,,,,,,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,,,nada,65.0,yes
172,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,2,when,L2,unsyncopated,when,when,44,Online_whenL2//c.cha30.none.wav,te,mi,to,sil,me,go,si,sil1,ño,du,sil2,['-'],,,none,none,,,,cha,3,,,,,,,,,,,,,,,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,,,nada,65.0,yes
173,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,2,when,L2,unsyncopated,when,when,45,Online_whenL2//c.cha28.0.wav,cha,fe,to,sil,ba,ñu,me,sil1,go,te,sil2,['catch'],[0.6158000000118591],[0.6158000000118591],0.0,beat,0.6158000000118591,0.6158000000118591,"[""space""]",cha,3,,,,,,,,,,,,,,,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,,,nada,65.0,yes
174,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,2,when,L2,unsyncopated,when,when,46,Online_whenL2//c.cha29.444.wav,go,du,cha,sil,me,ba,su,sil1,ñu,bi,sil2,['catch'],[1.5868000000118627],[1.5868000000118627],0.444,no_beat,1.1428000000118628,1.1428000000118628,"[""space""]",cha,3,,,,,,,,,,,,,,,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,,,nada,65.0,yes
175,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,2,when,L2,unsyncopated,when,when,47,Online_whenL2//c.cha31.none.wav,to,te,ñu,sil,bi,du,su,sil1,fe,me,sil2,['-'],,,none,none,,,,cha,3,,,,,,,,,,,,,,,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,,,nada,65.0,yes
176,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,2,when,L2,unsyncopated,when,when,48,Online_whenL2//a.du33.1110.wav,te,su,si,sil,to,du,fe,sil1,mi,me,sil2,['catch'],[1.4565000000000055],[1.4565000000000055],1.11,no_beat,0.3465000000000053,0.3465000000000053,"[""space""]",du,1,,,,,,,,,,,,,,,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,,,nada,65.0,yes
177,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,2,when,L2,unsyncopated,when,when,49,Online_whenL2//a.du34.1110.wav,ba,ñu,fe,sil,si,du,ño,sil1,te,su,sil2,['miss'],,,1.11,no_beat,,,,du,1,,,,,,,,,,,,,,,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,,,nada,65.0,yes
178,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,2,when,L2,unsyncopated,when,when,50,Online_whenL2//a.du35.none.wav,to,ñu,su,sil,ba,cha,fe,sil1,ño,go,sil2,['-'],,,none,none,,,,du,1,,,,,,,,,,,,,,,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,,,nada,65.0,yes
179,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,2,when,L2,unsyncopated,when,when,51,Online_whenL2//a.du32.none.wav,to,fe,ñu,sil,cha,te,go,sil1,ño,si,sil2,['-'],,,none,none,,,,du,1,,,,,,,,,,,,,,,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,,,nada,65.0,yes
180,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,2,when,L2,unsyncopated,when,when,52,Online_whenL2//c.cha18.1776.wav,ra,ñu,ño,sil,si,to,te,sil1,cha,du,sil2,['catch'],[2.3637999999523345],[2.3637999999523345],1.776,beat,0.5877999999523345,0.5877999999523345,"[""space""]",cha,3,,,,,,,,,,,,,,,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,,,nada,65.0,yes
181,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,2,when,L2,unsyncopated,when,when,53,Online_whenL2//c.cha19.1998.wav,go,si,du,sil,ñu,to,ba,sil1,te,cha,sil2,['catch'],[2.646800000011808],[2.646800000011808],1.998,no_beat,0.6488000000118082,0.6488000000118082,"[""space""]",cha,3,,,,,,,,,,,,,,,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,,,nada,65.0,yes
182,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,2,when,L2,unsyncopated,when,when,54,Online_whenL2//c.cha17.none.wav,te,ñu,su,sil,mi,go,me,sil1,ra,si,sil2,['-'],,,none,none,,,,cha,3,,,,,,,,,,,,,,,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,,,nada,65.0,yes
183,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,2,when,L2,unsyncopated,when,when,55,Online_whenL2//c.cha16.none.wav,te,su,to,sil,du,ra,me,sil1,si,mi,sil2,['-'],,,none,none,,,,cha,3,,,,,,,,,,,,,,,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,,,nada,65.0,yes
184,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,2,when,L2,unsyncopated,when,when,56,Online_whenL2//d.si13.444.wav,go,ñu,si,sil,bi,to,ño,sil1,fe,mi,sil2,['catch'],[0.9738000000120337],[0.9738000000120337],0.444,no_beat,0.5298000000120338,0.5298000000120338,"[""space""]",si,4,,,,,,,,,,,,,,,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,,,nada,65.0,yes
185,2024-04-24_10h51.51.516,Experiment4_uns,s168,30.0,masculino,right,España,Español,Other,no,no,B,2,when,L2,unsyncopated,when,when,57,Online_whenL2//d.si12.1776.wav,mi,du,to,sil,go,ño,bi,sil1,si,cha,sil2,['catch'],[2.5308999999761],[2.5308999999761],1.776,beat,0.7548999999760999,0.7548999999760999,"[""space""]",si,4,,,,,,,,,,,,,,,2.0,1.0,Catalán,7.0,Inglés,11.0,4.0,2.0,no,no,no,nada,, ,,,nada,65.0,yes
