Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,instr_3,age_M3,instr_4,age_M4,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
416,2023-10-01_18h53.04.363,Unsyncopated1,s26,27.0,feminino,right,ESPAÑA,CASTELLANO Y CATALÁN,Bachelor degree,no,no,B,4,conjunction_syn,L4,syncopated,s1,r2,24,Online_conjL4_syn//d.pe.po31.444.1332.wav,ja,re,pe,nu,sil,de,po,ci,sil1,bo,sil2,['catch'],[2.14939999997614],[2.14939999997614],1.332,no_beat,0.8173999999761399,0.8173999999761399,"[""space""]",po,4,,,,,,,,,,,,,,,2.0,3.0,CASTELLANO,0.0,CATALÁN,0.0,3.0,4.0,yes,no,no,PIANO,6,GUITARRA,6,CANTO,6,FLAUTA,6.0,,,Ya lo hiceeee wii,67.0,yes
417,2023-10-01_18h53.04.363,Unsyncopated1,s26,27.0,feminino,right,ESPAÑA,CASTELLANO Y CATALÁN,Bachelor degree,no,no,B,4,conjunction_syn,L4,syncopated,s1,r2,25,Online_conjL4_syn//d.pe.po28.none.none.wav,ja,ru,ña,nu,sil,re,bu,da,sil1,ci,sil2,['-'],,,none,none,,,,po,4,,,,,,,,,,,,,,,2.0,3.0,CASTELLANO,0.0,CATALÁN,0.0,3.0,4.0,yes,no,no,PIANO,6,GUITARRA,6,CANTO,6,FLAUTA,6.0,,,Ya lo hiceeee wii,67.0,yes
418,2023-10-01_18h53.04.363,Unsyncopated1,s26,27.0,feminino,right,ESPAÑA,CASTELLANO Y CATALÁN,Bachelor degree,no,no,B,4,conjunction_syn,L4,syncopated,s2,r2,26,Online_conjL4_syn//d.pe.po29.none.none.wav,da,ña,ru,ja,sil,ñi,de,nu,sil1,ci,sil2,['-'],,,none,none,,,,po,4,,,,,,,,,,,,,,,2.0,3.0,CASTELLANO,0.0,CATALÁN,0.0,3.0,4.0,yes,no,no,PIANO,6,GUITARRA,6,CANTO,6,FLAUTA,6.0,,,Ya lo hiceeee wii,67.0,yes
419,2023-10-01_18h53.04.363,Unsyncopated1,s26,27.0,feminino,right,ESPAÑA,CASTELLANO Y CATALÁN,Bachelor degree,no,no,B,4,conjunction_syn,L4,syncopated,s2,r1,27,Online_conjL4_syn//d.pe.po30.444.0.wav,po,ru,pe,zi,sil,bu,ci,lo,sil1,re,sil2,['catch'],[0.8473000000121829],[0.8473000000121829],0.0,beat,0.8473000000121829,0.8473000000121829,"[""space""]",po,4,,,,,,,,,,,,,,,2.0,3.0,CASTELLANO,0.0,CATALÁN,0.0,3.0,4.0,yes,no,no,PIANO,6,GUITARRA,6,CANTO,6,FLAUTA,6.0,,,Ya lo hiceeee wii,67.0,yes
420,2023-10-01_18h53.04.363,Unsyncopated1,s26,27.0,feminino,right,ESPAÑA,CASTELLANO Y CATALÁN,Bachelor degree,no,no,B,4,conjunction_syn,L4,syncopated,s1,r1,28,Online_conjL4_syn//d.pe.po20.1332.444.wav,zi,ru,po,lo,sil,bo,pe,de,sil1,da,sil2,['catch'],[1.0978999999761072],[1.0978999999761072],0.444,no_beat,0.6538999999761073,0.6538999999761073,"[""space""]",po,4,,,,,,,,,,,,,,,2.0,3.0,CASTELLANO,0.0,CATALÁN,0.0,3.0,4.0,yes,no,no,PIANO,6,GUITARRA,6,CANTO,6,FLAUTA,6.0,,,Ya lo hiceeee wii,67.0,yes
421,2023-10-01_18h53.04.363,Unsyncopated1,s26,27.0,feminino,right,ESPAÑA,CASTELLANO Y CATALÁN,Bachelor degree,no,no,B,4,conjunction_syn,L4,syncopated,s2,r2,29,Online_conjL4_syn//d.pe.po22.444.1110.wav,de,ru,pe,ja,sil,po,re,nu,sil1,bo,sil2,['catch'],[1.8719999999998436],[1.8719999999998436],1.11,no_beat,0.7619999999998435,0.7619999999998435,"[""space""]",po,4,,,,,,,,,,,,,,,2.0,3.0,CASTELLANO,0.0,CATALÁN,0.0,3.0,4.0,yes,no,no,PIANO,6,GUITARRA,6,CANTO,6,FLAUTA,6.0,,,Ya lo hiceeee wii,67.0,yes
422,2023-10-01_18h53.04.363,Unsyncopated1,s26,27.0,feminino,right,ESPAÑA,CASTELLANO Y CATALÁN,Bachelor degree,no,no,B,4,conjunction_syn,L4,syncopated,s1,r2,30,Online_conjL4_syn//d.pe.po21.none.none.wav,ja,bo,bu,nu,sil,ci,ña,de,sil1,ru,sil2,['-'],,,none,none,,,,po,4,,,,,,,,,,,,,,,2.0,3.0,CASTELLANO,0.0,CATALÁN,0.0,3.0,4.0,yes,no,no,PIANO,6,GUITARRA,6,CANTO,6,FLAUTA,6.0,,,Ya lo hiceeee wii,67.0,yes
423,2023-10-01_18h53.04.363,Unsyncopated1,s26,27.0,feminino,right,ESPAÑA,CASTELLANO Y CATALÁN,Bachelor degree,no,no,B,4,conjunction_syn,L4,syncopated,s1,r1,31,Online_conjL4_syn//d.pe.po23.none.none.wav,zi,bo,da,lo,sil,de,ña,ñi,sil1,ru,sil2,['-'],,,none,none,,,,po,4,,,,,,,,,,,,,,,2.0,3.0,CASTELLANO,0.0,CATALÁN,0.0,3.0,4.0,yes,no,no,PIANO,6,GUITARRA,6,CANTO,6,FLAUTA,6.0,,,Ya lo hiceeee wii,67.0,yes
424,2023-10-01_18h53.04.363,Unsyncopated1,s26,27.0,feminino,right,ESPAÑA,CASTELLANO Y CATALÁN,Bachelor degree,no,no,B,4,conjunction_syn,L4,syncopated,s1,r2,32,Online_conjL4_syn//d.pe.po14.1110.1332.wav,ja,bo,bu,nu,sil,pe,po,de,sil1,da,sil2,['catch'],[2.10919999998805],[2.10919999998805],1.332,no_beat,0.7771999999880499,0.7771999999880499,"[""space""]",po,4,,,,,,,,,,,,,,,2.0,3.0,CASTELLANO,0.0,CATALÁN,0.0,3.0,4.0,yes,no,no,PIANO,6,GUITARRA,6,CANTO,6,FLAUTA,6.0,,,Ya lo hiceeee wii,67.0,yes
425,2023-10-01_18h53.04.363,Unsyncopated1,s26,27.0,feminino,right,ESPAÑA,CASTELLANO Y CATALÁN,Bachelor degree,no,no,B,4,conjunction_syn,L4,syncopated,s2,r2,33,Online_conjL4_syn//d.pe.po15.222.1110.wav,ci,pe,de,ja,sil,po,bo,nu,sil1,da,sil2,['catch'],[2.043999999999869],[2.043999999999869],1.11,no_beat,0.9339999999998688,0.9339999999998688,"[""space""]",po,4,,,,,,,,,,,,,,,2.0,3.0,CASTELLANO,0.0,CATALÁN,0.0,3.0,4.0,yes,no,no,PIANO,6,GUITARRA,6,CANTO,6,FLAUTA,6.0,,,Ya lo hiceeee wii,67.0,yes
