Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
72,2024-02-04_19h07.14.698,Unsyncopated_study2,102,23.0,feminino,right,España,castellano,Master degree,no,no,B,1,when,L4,unsyncopated,when,when,72,Online_whenL4//b.ja15.444.wav,da,ci,ja,sil,bo,ru,pe,sil1,zi,bu,sil2,['catch'],[0.8840000000000146],[0.8840000000000146],0.444,no_beat,0.4400000000000145,0.4400000000000145,"[""space""]",ja,2,testWhatL3Uns//dep_viol.r2.s2.0.wav,4.0,what,unsyncopated,b,s2,no_rule,dep,L3,z,1.661,4.0,0.0,1.068,2.0,2.0,castellano,0.0,inglés,6.0,3.0,4.0,no,no,no,nada,,,,nada,58.0,yes
73,2024-02-04_19h07.14.698,Unsyncopated_study2,102,23.0,feminino,right,España,castellano,Master degree,no,no,B,1,when,L4,unsyncopated,when,when,73,Online_whenL4//b.ja13.none.wav,bo,de,ña,sil,re,bu,lo,sil1,pe,zi,sil2,['-'],,,none,none,,,,ja,2,testWhatL3Uns//r1.s2.0.wav,4.0,what,unsyncopated,a,s2,rule,rule,L3,z,1.214,7.0,1.0,1.015,2.0,2.0,castellano,0.0,inglés,6.0,3.0,4.0,no,no,no,nada,,,,nada,58.0,yes
74,2024-02-04_19h07.14.698,Unsyncopated_study2,102,23.0,feminino,right,España,castellano,Master degree,no,no,B,1,when,L4,unsyncopated,when,when,74,Online_whenL4//b.ja14.888.wav,zi,ña,po,sil,ja,bu,de,sil1,bo,ru,sil2,['catch'],[1.375],[1.375],0.888,beat,0.487,0.487,"[""space""]",ja,2,testWhatL3Uns//time_viol.r2.s1.0.wav,4.0,what,unsyncopated,b,s1,no_rule,time,L3,z,0.668,6.0,0.0,0.734,2.0,2.0,castellano,0.0,inglés,6.0,3.0,4.0,no,no,no,nada,,,,nada,58.0,yes
75,2024-02-04_19h07.14.698,Unsyncopated_study2,102,23.0,feminino,right,España,castellano,Master degree,no,no,B,1,when,L4,unsyncopated,when,when,75,Online_whenL4//b.ja12.444.wav,nu,ñi,ja,sil,pe,da,ña,sil1,re,ru,sil2,['catch'],[0.9400000000000546],[0.9400000000000546],0.444,no_beat,0.4960000000000545,0.4960000000000545,"[""space""]",ja,2,testWhatL3Uns//r1.s1.2.wav,4.0,what,unsyncopated,a,s1,rule,rule,L3,m,0.453,4.0,0.0,0.551,2.0,2.0,castellano,0.0,inglés,6.0,3.0,4.0,no,no,no,nada,,,,nada,58.0,yes
76,2024-02-04_19h07.14.698,Unsyncopated_study2,102,23.0,feminino,right,España,castellano,Master degree,no,no,B,1,when,L4,unsyncopated,when,when,76,Online_whenL4//d.pe23.444.wav,po,ja,pe,sil,de,ru,re,sil1,lo,bo,sil2,['catch'],[0.9589999999998327],[0.9589999999998327],0.444,no_beat,0.5149999999998327,0.5149999999998327,"[""space""]",pe,4,testWhatL3Uns//r1.s2.1.wav,4.0,what,unsyncopated,a,s2,rule,rule,L3,m,1.251,4.0,0.0,0.936,2.0,2.0,castellano,0.0,inglés,6.0,3.0,4.0,no,no,no,nada,,,,nada,58.0,yes
77,2024-02-04_19h07.14.698,Unsyncopated_study2,102,23.0,feminino,right,España,castellano,Master degree,no,no,B,1,when,L4,unsyncopated,when,when,77,Online_whenL4//d.pe21.none.wav,ci,lo,bu,sil,ña,po,ja,sil1,bo,ru,sil2,['-'],,,none,none,,,,pe,4,testWhatL3Uns//cat_viol.r2.s1.0.wav,4.0,what,unsyncopated,b,s1,no_rule,cat,L3,m,0.6,4.0,1.0,0.701,2.0,2.0,castellano,0.0,inglés,6.0,3.0,4.0,no,no,no,nada,,,,nada,58.0,yes
78,2024-02-04_19h07.14.698,Unsyncopated_study2,102,23.0,feminino,right,España,castellano,Master degree,no,no,B,1,when,L4,unsyncopated,when,when,78,Online_whenL4//d.pe22.0.wav,pe,zi,ña,sil,lo,ci,ñi,sil1,re,da,sil2,['catch'],[0.4919999999999618],[0.4919999999999618],0.0,beat,0.4919999999999618,0.4919999999999618,"[""space""]",pe,4,testWhatL3Uns//cat_viol.r2.s2.0.wav,4.0,what,unsyncopated,b,s2,no_rule,cat,L3,z,1.049,4.0,0.0,1.303,2.0,2.0,castellano,0.0,inglés,6.0,3.0,4.0,no,no,no,nada,,,,nada,58.0,yes
79,2024-02-04_19h07.14.698,Unsyncopated_study2,102,23.0,feminino,right,España,castellano,Master degree,no,no,B,1,when,L4,unsyncopated,when,when,79,Online_whenL4//d.pe20.none.wav,bu,lo,po,sil,ru,ñi,ja,sil1,ña,de,sil2,['-'],,,none,none,,,,pe,4,testWhatL3Uns//r2.s1.2.wav,4.0,what,unsyncopated,b,s1,rule,rule,L3,m,1.784,4.0,0.0,0.553,2.0,2.0,castellano,0.0,inglés,6.0,3.0,4.0,no,no,no,nada,,,,nada,58.0,yes
80,2024-02-04_19h07.14.698,Unsyncopated_study2,102,23.0,feminino,right,España,castellano,Master degree,no,no,B,1,when,L4,unsyncopated,when,when,80,Online_whenL4//c.bu22.none.wav,nu,ci,ña,sil,re,ñi,ru,sil1,zi,pe,sil2,['-'],,,none,none,,,,bu,3,testWhatL3Uns//cat_viol.r1.s1.0.wav,4.0,what,unsyncopated,a,s1,no_rule,cat,L3,z,0.351,6.0,0.0,0.75,2.0,2.0,castellano,0.0,inglés,6.0,3.0,4.0,no,no,no,nada,,,,nada,58.0,yes
81,2024-02-04_19h07.14.698,Unsyncopated_study2,102,23.0,feminino,right,España,castellano,Master degree,no,no,B,1,when,L4,unsyncopated,when,when,81,Online_whenL4//c.bu20.1332.wav,lo,re,ru,sil,ña,de,bu,sil1,zi,ci,sil2,['catch'],[1.808999999999969],[1.808999999999969],1.332,no_beat,0.476999999999969,0.476999999999969,"[""space""]",bu,3,testWhatL3Uns//dep_viol.r2.s1.0.wav,4.0,what,unsyncopated,b,s1,no_rule,dep,L3,z,0.967,5.0,0.0,0.698,2.0,2.0,castellano,0.0,inglés,6.0,3.0,4.0,no,no,no,nada,,,,nada,58.0,yes
