Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
435,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,4,conjunction_syn,L3,syncopated,s1,r2,43,Online_conjL3_syn//d.ji.li23.none.none.wav,ñe,ga,ko,sa,sil,fu,do,le,sil1,gu,sil2,['-'],,,none,none,,,,ji,4,,,,,,,,,,,,,,,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,,,nada ,51.0,yes
436,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,4,conjunction_syn,L3,syncopated,s1,r1,44,Online_conjL3_syn//c.gu.je1.222.1332.wav,chu,gu,li,mo,sil,di,je,fu,sil1,ka,sil2,['miss'],,,0.222,no_beat,,,,gu,3,,,,,,,,,,,,,,,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,,,nada ,51.0,yes
437,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,4,conjunction_syn,L3,syncopated,s1,r1,45,Online_conjL3_syn//c.gu.je3.none.none.wav,chu,ka,li,mo,sil,ga,le,di,sil1,ji,sil2,['-'],,,none,none,,,,gu,3,,,,,,,,,,,,,,,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,,,nada ,51.0,yes
438,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,4,conjunction_syn,L3,syncopated,s1,r2,46,Online_conjL3_syn//c.gu.je2.none.none.wav,ñe,ka,ga,sa,sil,li,ji,do,sil1,le,sil2,['-'],,,none,none,,,,gu,3,,,,,,,,,,,,,,,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,,,nada ,51.0,yes
439,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,4,conjunction_syn,L3,syncopated,s1,r1,47,Online_conjL3_syn//c.gu.je0.1332.444.wav,chu,ga,je,mo,sil,ko,gu,ji,sil1,do,sil2,['catch'],[2.075299999713934],[2.075299999713934],1.332,no_beat,0.743299999713934,0.743299999713934,"[""space""]",gu,3,,,,,,,,,,,,,,,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,,,nada ,51.0,yes
440,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,4,conjunction_syn,L3,syncopated,s1,r2,48,Online_conjL3_syn//b.ñe.sa9.0.666.wav,ñe,ko,je,sa,sil,fu,li,di,sil1,ji,sil2,['catch'],[0.785400000095251],[0.785400000095251],0.0,beat,0.785400000095251,0.785400000095251,"[""space""]",ñe,1,,,,,,,,,,,,,,,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,,,nada ,51.0,yes
441,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,4,conjunction_syn,L3,syncopated,s1,r2,49,Online_conjL3_syn//b.ñe.sa8.0.666.wav,ñe,do,di,sa,sil,je,ko,le,sil1,gu,sil2,['catch'],[0.6214000000954911],[0.6214000000954911],0.0,beat,0.6214000000954911,0.6214000000954911,"[""space""]",ñe,1,,,,,,,,,,,,,,,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,,,nada ,51.0,yes
442,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,4,conjunction_syn,L3,syncopated,s2,r2,50,Online_conjL3_syn//b.ñe.sa11.666.1554.wav,li,fu,ga,ñe,sil,do,ka,sa,sil1,ko,sil2,['catch'],[1.6701999998090287],[1.6701999998090287],0.666,no_beat,1.0041999998090287,1.0041999998090287,"[""space""]",ñe,1,,,,,,,,,,,,,,,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,,,nada ,51.0,yes
443,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,4,conjunction_syn,L3,syncopated,s1,r1,51,Online_conjL3_syn//b.ñe.sa10.none.none.wav,chu,ji,li,mo,sil,je,le,gu,sil1,do,sil2,['-'],,,none,none,,,,ñe,1,,,,,,,,,,,,,,,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,,,nada ,51.0,yes
444,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,4,conjunction_syn,L3,syncopated,s1,r2,52,Online_conjL3_syn//d.ji.li26.1554.222.wav,ñe,li,je,sa,sil,fu,ga,ji,sil1,ka,sil2,['catch'],[2.2719999999999345],[2.2719999999999345],1.554,no_beat,0.7179999999999345,0.7179999999999345,"[""space""]",ji,4,,,,,,,,,,,,,,,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,,,nada ,51.0,yes
445,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,4,conjunction_syn,L3,syncopated,s2,r1,53,Online_conjL3_syn//d.ji.li25.none.none.wav,le,fu,ka,chu,sil,ga,je,mo,sil1,gu,sil2,['-'],,,none,none,,,,ji,4,,,,,,,,,,,,,,,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,,,nada ,51.0,yes
446,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,4,conjunction_syn,L3,syncopated,s1,r1,54,Online_conjL3_syn//d.ji.li27.none.none.wav,chu,je,ga,mo,sil,gu,do,le,sil1,ka,sil2,['-'],,,none,none,,,,ji,4,,,,,,,,,,,,,,,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,,,nada ,51.0,yes
447,2024-04-15_12h51.36.127,Experiment4_uns,s182,24.0,feminino,right,españa,castellano,Bachelor degree,no,no,A,4,conjunction_syn,L3,syncopated,s1,r2,55,Online_conjL3_syn//d.ji.li24.222.1110.wav,ñe,ji,ga,sa,sil,li,fu,ka,sil1,di,sil2,['catch'],[1.1428000001906184],[1.1428000001906184],0.222,no_beat,0.9208000001906184,0.9208000001906184,"[""space""]",ji,4,,,,,,,,,,,,,,,3.0,2.0,castellano,0.0,catalan,3.0,ingles,5.0,4.0,3.0,no,no,yes,nada,,,,nada ,51.0,yes
