Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,instr_4,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
297,2024-03-13_22h19.51.163,Unsyncopated_study3,s142,18.0,feminino,right,España,Castellano y Catalán,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,41,Online_whenL1//c.ro16.1776.wav,fa,ne,zu,sil,ki,ta,ze,sil1,ro,cho,sil2,['miss'],,,1.776,beat,,,,ro,3,,,,,,,,,,,,,,,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,12.0,4.0,4.0,no,no,no,Nada,,Nada,,   ,,,"Ha estado bien aunque se me ha hecho bastante larga y repetitiva (aunque de eso trata), y debido a esto me he descentrado un par de veces que no han tenido apenas repercusión en mis respuestas. Gracias. ",73.0,yes
298,2024-03-13_22h19.51.163,Unsyncopated_study3,s142,18.0,feminino,right,España,Castellano y Catalán,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,42,Online_whenL1//c.ro19.1332.wav,ze,be,pu,sil,ne,fo,ro,sil1,lu,cho,sil2,['catch'],[2.430800000004183],[2.430800000004183],1.332,no_beat,1.0988000000041829,1.0988000000041829,"[""space""]",ro,3,,,,,,,,,,,,,,,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,12.0,4.0,4.0,no,no,no,Nada,,Nada,,   ,,,"Ha estado bien aunque se me ha hecho bastante larga y repetitiva (aunque de eso trata), y debido a esto me he descentrado un par de veces que no han tenido apenas repercusión en mis respuestas. Gracias. ",73.0,yes
299,2024-03-13_22h19.51.163,Unsyncopated_study3,s142,18.0,feminino,right,España,Castellano y Catalán,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,43,Online_whenL1//c.ro17.none.wav,la,ze,pu,sil,ki,cho,zu,sil1,fa,ne,sil2,['-'],,,none,none,,,,ro,3,,,,,,,,,,,,,,,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,12.0,4.0,4.0,no,no,no,Nada,,Nada,,   ,,,"Ha estado bien aunque se me ha hecho bastante larga y repetitiva (aunque de eso trata), y debido a esto me he descentrado un par de veces que no han tenido apenas repercusión en mis respuestas. Gracias. ",73.0,yes
300,2024-03-13_22h19.51.163,Unsyncopated_study3,s142,18.0,feminino,right,España,Castellano y Catalán,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,44,Online_whenL1//c.ro7.0.wav,ro,ta,pu,sil,fa,lu,fo,sil1,cho,ri,sil2,['catch'],[1.8511000000012245],[1.8511000000012245],0.0,beat,,1.8511000000012243,"[""space""]",ro,3,,,,,,,,,,,,,,,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,12.0,4.0,4.0,no,no,no,Nada,,Nada,,   ,,,"Ha estado bien aunque se me ha hecho bastante larga y repetitiva (aunque de eso trata), y debido a esto me he descentrado un par de veces que no han tenido apenas repercusión en mis respuestas. Gracias. ",73.0,yes
301,2024-03-13_22h19.51.163,Unsyncopated_study3,s142,18.0,feminino,right,España,Castellano y Catalán,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,45,Online_whenL1//c.ro4.0.wav,ro,ri,ni,sil,pu,be,la,sil1,fa,ze,sil2,['catch'],[1.705799999996998],[1.705799999996998],0.0,beat,,1.705799999996998,"[""space""]",ro,3,,,,,,,,,,,,,,,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,12.0,4.0,4.0,no,no,no,Nada,,Nada,,   ,,,"Ha estado bien aunque se me ha hecho bastante larga y repetitiva (aunque de eso trata), y debido a esto me he descentrado un par de veces que no han tenido apenas repercusión en mis respuestas. Gracias. ",73.0,yes
302,2024-03-13_22h19.51.163,Unsyncopated_study3,s142,18.0,feminino,right,España,Castellano y Catalán,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,46,Online_whenL1//c.ro5.none.wav,ni,zu,ze,sil,pu,be,fa,sil1,cho,fo,sil2,['false alarm'],[2.011799999997038],[2.011799999997038],none,none,,,"[""space""]",ro,3,,,,,,,,,,,,,,,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,12.0,4.0,4.0,no,no,no,Nada,,Nada,,   ,,,"Ha estado bien aunque se me ha hecho bastante larga y repetitiva (aunque de eso trata), y debido a esto me he descentrado un par de veces que no han tenido apenas repercusión en mis respuestas. Gracias. ",73.0,yes
303,2024-03-13_22h19.51.163,Unsyncopated_study3,s142,18.0,feminino,right,España,Castellano y Catalán,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,47,Online_whenL1//c.ro6.none.wav,ri,ze,ta,sil,ne,zu,lu,sil1,be,fo,sil2,['-'],,,none,none,,,,ro,3,,,,,,,,,,,,,,,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,12.0,4.0,4.0,no,no,no,Nada,,Nada,,   ,,,"Ha estado bien aunque se me ha hecho bastante larga y repetitiva (aunque de eso trata), y debido a esto me he descentrado un par de veces que no han tenido apenas repercusión en mis respuestas. Gracias. ",73.0,yes
304,2024-03-13_22h19.51.163,Unsyncopated_study3,s142,18.0,feminino,right,España,Castellano y Catalán,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,48,Online_whenL1//b.ta17.none.wav,ni,fo,zu,sil,be,ki,ze,sil1,ro,ri,sil2,['false alarm'],[0.2838000000047032],[0.2838000000047032],none,none,,,"[""space""]",ta,2,,,,,,,,,,,,,,,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,12.0,4.0,4.0,no,no,no,Nada,,Nada,,   ,,,"Ha estado bien aunque se me ha hecho bastante larga y repetitiva (aunque de eso trata), y debido a esto me he descentrado un par de veces que no han tenido apenas repercusión en mis respuestas. Gracias. ",73.0,yes
305,2024-03-13_22h19.51.163,Unsyncopated_study3,s142,18.0,feminino,right,España,Castellano y Catalán,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,49,Online_whenL1//b.ta18.0.wav,ta,ze,zu,sil,ri,ro,lu,sil1,pu,la,sil2,['catch'],[1.376199999995606],[1.376199999995606],0.0,beat,,1.376199999995606,"[""space""]",ta,2,,,,,,,,,,,,,,,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,12.0,4.0,4.0,no,no,no,Nada,,Nada,,   ,,,"Ha estado bien aunque se me ha hecho bastante larga y repetitiva (aunque de eso trata), y debido a esto me he descentrado un par de veces que no han tenido apenas repercusión en mis respuestas. Gracias. ",73.0,yes
306,2024-03-13_22h19.51.163,Unsyncopated_study3,s142,18.0,feminino,right,España,Castellano y Catalán,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,50,Online_whenL1//b.ta16.none.wav,ni,pu,fa,sil,ne,ki,cho,sil1,fo,ro,sil2,['-'],,,none,none,,,,ta,2,,,,,,,,,,,,,,,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,12.0,4.0,4.0,no,no,no,Nada,,Nada,,   ,,,"Ha estado bien aunque se me ha hecho bastante larga y repetitiva (aunque de eso trata), y debido a esto me he descentrado un par de veces que no han tenido apenas repercusión en mis respuestas. Gracias. ",73.0,yes
307,2024-03-13_22h19.51.163,Unsyncopated_study3,s142,18.0,feminino,right,España,Castellano y Catalán,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,51,Online_whenL1//b.ta19.none.wav,pu,fa,lu,sil,fo,cho,la,sil1,be,ri,sil2,['-'],,,none,none,,,,ta,2,,,,,,,,,,,,,,,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,12.0,4.0,4.0,no,no,no,Nada,,Nada,,   ,,,"Ha estado bien aunque se me ha hecho bastante larga y repetitiva (aunque de eso trata), y debido a esto me he descentrado un par de veces que no han tenido apenas repercusión en mis respuestas. Gracias. ",73.0,yes
308,2024-03-13_22h19.51.163,Unsyncopated_study3,s142,18.0,feminino,right,España,Castellano y Catalán,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,52,Online_whenL1//c.ro31.none.wav,ni,ze,fo,sil,ne,zu,pu,sil1,ta,la,sil2,['false alarm'],[2.3916999999955806],[2.3916999999955806],none,none,,,"[""space""]",ro,3,,,,,,,,,,,,,,,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,12.0,4.0,4.0,no,no,no,Nada,,Nada,,   ,,,"Ha estado bien aunque se me ha hecho bastante larga y repetitiva (aunque de eso trata), y debido a esto me he descentrado un par de veces que no han tenido apenas repercusión en mis respuestas. Gracias. ",73.0,yes
309,2024-03-13_22h19.51.163,Unsyncopated_study3,s142,18.0,feminino,right,España,Castellano y Catalán,Upper secondary,no,no,B,3,when,L1,unsyncopated,when,when,53,Online_whenL1//c.ro29.none.wav,fa,ne,cho,sil,fo,ki,ta,sil1,ze,la,sil2,['-'],,,none,none,,,,ro,3,,,,,,,,,,,,,,,3.0,2.0,Castellano,0.0,Catalán,0.0,Inglés,12.0,4.0,4.0,no,no,no,Nada,,Nada,,   ,,,"Ha estado bien aunque se me ha hecho bastante larga y repetitiva (aunque de eso trata), y debido a esto me he descentrado un par de veces que no han tenido apenas repercusión en mis respuestas. Gracias. ",73.0,yes
