Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,lang_4,age_l4,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,instr_3,age_M3,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
388,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,3,conjunction_syn,L4,syncopated,s1,r2,124,Online_conjL4_syn//a.zi.lo28.none.none.wav,ja,pe,bu,nu,sil,ña,ñi,bo,sil1,ru,sil2,['-'],,,none,none,,,,zi,1,,,,,,,,,,,,,,,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,,,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
389,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,3,conjunction_syn,L4,syncopated,s1,r1,125,Online_conjL4_syn//a.zi.lo30.0.666.wav,zi,ñi,ru,lo,sil,bu,bo,ña,sil1,de,sil2,['catch'],[0.4709000000952983],[0.4709000000952983],0.0,beat,0.4709000000952983,0.4709000000952983,"[""space""]",zi,1,,,,,,,,,,,,,,,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,,,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
390,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,3,conjunction_syn,L4,syncopated,s2,r2,126,Online_conjL4_syn//a.zi.lo31.none.none.wav,bo,ru,ci,ja,sil,po,da,nu,sil1,bu,sil2,['-'],,,none,none,,,,zi,1,,,,,,,,,,,,,,,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,,,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
391,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,3,conjunction_syn,L4,syncopated,s2,r2,127,Online_conjL4_syn//a.zi.lo29.none.none.wav,ña,da,re,ja,sil,ci,po,nu,sil1,ru,sil2,['-'],,,none,none,,,,zi,1,,,,,,,,,,,,,,,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,,,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
392,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,4,what,L2,unsyncopated,s2,r2,0,Online_whatL2//b.fe.ra5.888.1776.wav,ñu,ño,mi,sil,fe,me,ba,sil1,ra,te,sil2,['miss'],,,1.776,beat,,,,ra,2,,,,,,,,,,,,,,,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,,,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
393,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,4,what,L2,unsyncopated,s1,r1,1,Online_whatL2//b.fe.ra7.none.none.wav,go,cha,me,sil,du,bi,te,sil1,ñu,su,sil2,['-'],,,none,none,,,,ra,2,,,,,,,,,,,,,,,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,,,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
394,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,4,what,L2,unsyncopated,s1,r1,2,Online_whatL2//b.fe.ra4.none.none.wav,go,te,to,sil2,du,ño,me,sil,su,cha,sil1,['-'],,,none,none,,,,ra,2,,,,,,,,,,,,,,,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,,,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
395,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,4,what,L2,unsyncopated,s2,r1,3,Online_whatL2//b.fe.ra6.none.none.wav,si,su,te,sil2,go,ba,mi,sil,du,ñu,sil1,['-'],,,none,none,,,,ra,2,,,,,,,,,,,,,,,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,,,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
396,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,4,what,L2,unsyncopated,s2,r1,4,Online_whatL2//c.cha.me17.0.444.wav,cha,te,me,sil2,go,bi,ñu,sil,du,mi,sil1,['catch'],[0.9463999999761654],[0.9463999999761654],0.444,no_beat,0.5023999999761655,0.5023999999761655,"[""space""]",me,3,,,,,,,,,,,,,,,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,,,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
397,2023-09-15_07h14.23.051,Unsyncopated1,s23,21.0,feminino,right,Espanya,Català (i castellà),Upper secondary,no,no,B,4,what,L2,unsyncopated,s2,r2,5,Online_whatL2//c.cha.me18.none.none.wav,bi,to,ñu,sil,fe,ño,ba,sil1,ra,si,sil2,['-'],,,none,none,,,,me,3,,,,,,,,,,,,,,,4.0,2.0,Català,0.0,Castellà,0.0,Anglès,5.0,Italià,16.0,4.0,4.0,yes,no,yes,Cant,8,Piano,8,Guitarra,8,,,"La fase 1 del primer lenguaje ha sido mucho más larga que las demás, cosa que al principio me ha confundido porque dejaba de sonar la voz de los otros lenguajes mucho antes. Eso me ha distraído un poco al principio pero luego he visto que formaba parte del propio experimento. Muchas gracias!",54.0,yes
