Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,lang_3,age_l3,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,age_M5,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
197,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s1,r2,61,Online_conjL4_syn//a.zi.lo1.none.none.wav,ja,re,ru,nu,sil,de,da,bu,sil1,ñi,sil2,['-'],,,none,none,,,,zi,1,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
198,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s2,r2,62,Online_conjL4_syn//a.zi.lo3.none.none.wav,po,ci,pe,ja,sil,re,bo,nu,sil1,ña,sil2,['-'],,,none,none,,,,zi,1,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
199,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s1,r1,63,Online_conjL4_syn//a.zi.lo2.0.666.wav,zi,ñi,re,lo,sil,bu,ci,bo,sil1,ña,sil2,['catch'],[0.664800000000696],[0.664800000000696],0.0,beat,0.664800000000696,0.664800000000696,"[""space""]",zi,1,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
200,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s2,r2,64,Online_conjL4_syn//a.zi.lo23.none.none.wav,da,ci,po,ja,sil,ñi,pe,nu,sil1,bo,sil2,['-'],,,none,none,,,,zi,1,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
201,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s1,r2,65,Online_conjL4_syn//a.zi.lo20.none.none.wav,ja,ru,po,nu,sil,ña,re,da,sil1,de,sil2,['-'],,,none,none,,,,zi,1,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
202,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s2,r1,66,Online_conjL4_syn//a.zi.lo21.666.1554.wav,ñi,bo,ru,zi,sil,pe,ña,lo,sil1,de,sil2,['catch'],[1.2811999999992167],[1.2811999999992167],0.666,no_beat,0.6151999999992167,0.6151999999992167,"[""space""]",zi,1,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
203,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s2,r1,67,Online_conjL4_syn//a.zi.lo22.666.1554.wav,po,bo,pe,zi,sil,re,bu,lo,sil1,da,sil2,['catch'],[1.2481999999990876],[1.2481999999990876],0.666,no_beat,0.5821999999990876,0.5821999999990876,"[""space""]",zi,1,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
204,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s1,r1,68,Online_conjL4_syn//a.zi.lo15.0.666.wav,zi,pe,ci,lo,sil,bo,po,ña,sil1,da,sil2,['catch'],[0.5943000000006577],[0.5943000000006577],0.0,beat,0.5943000000006577,0.5943000000006577,"[""space""]",zi,1,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
205,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s2,r2,69,Online_conjL4_syn//a.zi.lo13.none.none.wav,pe,de,ña,ja,sil,ci,ru,nu,sil1,po,sil2,['-'],,,none,none,,,,zi,1,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
206,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s1,r2,70,Online_conjL4_syn//a.zi.lo12.none.none.wav,ja,ci,ña,nu,sil,bu,bo,de,sil1,re,sil2,['-'],,,none,none,,,,zi,1,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
207,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s2,r1,71,Online_conjL4_syn//a.zi.lo14.666.1554.wav,ci,bo,pe,zi,sil,re,bu,lo,sil1,da,sil2,['catch'],[1.2585999999976138],[1.2585999999976138],0.666,no_beat,0.5925999999976138,0.5925999999976138,"[""space""]",zi,1,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
208,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s2,r2,72,Online_conjL4_syn//b.ja.nu18.666.1554.wav,ru,pe,po,ja,sil,bu,bo,nu,sil1,da,sil2,['catch'],[2.141300000000683],[2.141300000000683],1.554,no_beat,0.5873000000006832,0.5873000000006832,"[""space""]",nu,2,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
209,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s2,r1,73,Online_conjL4_syn//b.ja.nu16.none.none.wav,da,ru,bo,zi,sil,re,pe,lo,sil1,bu,sil2,['-'],,,none,none,,,,nu,2,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
210,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s2,r1,74,Online_conjL4_syn//b.ja.nu17.none.none.wav,ci,ru,de,zi,sil,bo,po,lo,sil1,bu,sil2,['-'],,,none,none,,,,nu,2,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
211,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s1,r2,75,Online_conjL4_syn//b.ja.nu19.0.666.wav,ja,ña,po,nu,sil,ñi,ru,re,sil1,da,sil2,['miss'],,,0.666,no_beat,,,,nu,2,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
212,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s1,r1,76,Online_conjL4_syn//c.bu.da5.222.1110.wav,zi,bu,ru,lo,sil,da,re,pe,sil1,ña,sil2,['catch'],[1.6610999999977594],[1.6610999999977594],1.11,no_beat,0.5510999999977593,0.5510999999977593,"[""space""]",da,3,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
213,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s2,r1,77,Online_conjL4_syn//c.bu.da7.0.444.wav,bu,re,da,zi,sil,ña,po,lo,sil1,ñi,sil2,['catch'],[1.0144999999999982],[1.0144999999999982],0.444,no_beat,0.5704999999999982,0.5704999999999982,"[""space""]",da,3,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
214,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s2,r1,78,Online_conjL4_syn//c.bu.da6.none.none.wav,pe,ci,ru,zi,sil,bo,po,lo,sil1,de,sil2,['-'],,,none,none,,,,da,3,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
215,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s2,r1,79,Online_conjL4_syn//c.bu.da4.none.none.wav,pe,re,ru,zi,sil,ci,bo,lo,sil1,po,sil2,['-'],,,none,none,,,,da,3,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
216,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s1,r1,80,Online_conjL4_syn//b.ja.nu1.none.none.wav,zi,de,ru,lo,sil,po,ña,bu,sil1,da,sil2,['false alarm'],[2.1431000000013682],[2.1431000000013682],none,none,,,"[""space""]",nu,2,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
217,2023-09-15_18h41.27.242,Unsyncopated1,s21,26.0,feminino,right,España,Español,Master degree,no,no,B,2,conjunction_syn,L4,syncopated,s1,r2,81,Online_conjL4_syn//b.ja.nu3.0.666.wav,ja,bu,bo,nu,sil,pe,ru,re,sil1,ñi,sil2,['catch'],[1.2974999999999],[1.2974999999999],0.666,no_beat,0.6314999999998999,0.6314999999998999,"[""space""]",nu,2,,,,,,,,,,,,,,,3 ,3.0,Español,0.0,Catalán,0.0,Inlés,4 ,3.0,4.0,no,no,no,nada,0,nada  ,0, ,,,nada ,70.0,yes
