Unnamed: 0,date,expName,participant,age,sex,hand,residence,native_lang,education_level,lang_deficit,aud_deficit,group,block,condition,language,rhythm,rule structure online,rule type online,order_trial_on,trial_online,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,catch_syll_resp,rts_syll_catch,clean_rts,time_syll,beat_no_beat,catch_rtsTR,catch_rts,syllable_catch.keys,cond_syll,syll_to_catch,test_offline,block_off,condition_off,rhythm_off,rule,rule_str_off,rule_norule,conds_offline,language_off,Partz_no_partm.keys,Partz_no_partm.rt,security_1_7.keys,accuracy,security_1_7.rt,n_lang,n_lang_used,lang_1,age_l1,lang_2,age_l2,ability_learn_l2,tendence_mix_lan,music_experience,muisc_use,partiture,instr_1,age_M1,instr_2,age_M2,preguntas_musica1,BMRQ_answer.response,final comment,BMRQ_Score,bilingual
36,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,36,Online_whenL4//b.ja34.1776.wav,re,bo,da,sil,zi,bu,ña,sil1,ja,ci,sil2,['catch'],[2.28449999999998],[2.28449999999998],1.776,beat,0.50849999999998,0.50849999999998,"[""space""]",ja,1,testConjL2Uns//r2.s2.1.wav,2.0,conjunction_un,unsyncopated,b,s2,rule,rule,L2,m,1.0187,3.0,0.0,0.8342,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,,,nada,60.0,yes
37,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,37,Online_whenL4//b.ja35.1998.wav,ru,re,da,sil,lo,bo,ña,sil1,po,ja,sil2,['catch'],[2.3611000000005333],[2.3611000000005333],1.998,no_beat,0.3631000000005333,0.3631000000005333,"[""space""]",ja,1,testConjL2Uns//dep_viol.r1.s1.0.wav,2.0,conjunction_un,unsyncopated,a,s1,no_rule,dep,L2,z,1.9676,5.0,0.0,0.8846,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,,,nada,60.0,yes
38,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,38,Online_whenL4//b.ja33.none.wav,ci,po,nu,sil,ñi,zi,pe,sil1,re,bu,sil2,['-'],,,none,none,,,,ja,1,testConjL2Uns//r2.s2.0.wav,2.0,conjunction_un,unsyncopated,b,s2,rule,rule,L2,z,1.2,7.0,1.0,0.4864,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,,,nada,60.0,yes
39,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,39,Online_whenL4//b.ja32.none.wav,ru,bu,de,sil,ña,lo,nu,sil1,re,ci,sil2,['false alarm'],[2.495300000000725],[2.495300000000725],none,none,,,"[""space""]",ja,1,testConjL2Uns//r1.s1.2.wav,2.0,conjunction_un,unsyncopated,a,s1,rule,rule,L2,z,1.3503,7.0,1.0,0.5995,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,,,nada,60.0,yes
40,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,40,Online_whenL4//a.lo4.none.wav,bo,ñi,pe,sil,ja,re,ru,sil1,nu,da,sil2,['-'],,,none,none,,,,lo,2,testConjL2Uns//time_viol.r1.s1.0.wav,2.0,conjunction_un,unsyncopated,a,s1,no_rule,time,L2,m,0.5051,2.0,1.0,0.6014,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,,,nada,60.0,yes
41,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,41,Online_whenL4//a.lo6.none.wav,ñi,ja,ña,sil,de,re,po,sil1,nu,bo,sil2,['-'],,,none,none,,,,lo,2,testConjL2Uns//r2.s1.0.wav,2.0,conjunction_un,unsyncopated,b,s1,rule,rule,L2,m,0.6523,3.0,0.0,0.4487,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,,,nada,60.0,yes
42,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,42,Online_whenL4//a.lo7.1776.wav,de,po,da,sil,ru,zi,ñi,sil1,lo,pe,sil2,['catch'],[2.526400000000365],[2.526400000000365],1.776,beat,0.7504000000003648,0.7504000000003648,"[""space""]",lo,2,testConjL2Uns//r2.s2.2.wav,2.0,conjunction_un,unsyncopated,b,s2,rule,rule,L2,m,0.9004,3.0,0.0,0.5341,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,,,nada,60.0,yes
43,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,43,Online_whenL4//a.lo5.1998.wav,ci,bu,zi,sil,ru,bo,pe,sil1,de,lo,sil2,['catch'],[2.4884000000004107],[2.4884000000004107],1.998,no_beat,0.4904000000004107,0.4904000000004107,"[""space""]",lo,2,testConjL2Uns//r1.s2.1.wav,2.0,conjunction_un,unsyncopated,a,s2,rule,rule,L2,z,2.8333,7.0,1.0,1.0417,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,,,nada,60.0,yes
44,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,44,Online_whenL4//c.bu5.444.wav,ci,ñi,bu,sil,po,nu,ña,sil1,pe,zi,sil2,"['catch', 'false alarm']","[0.9404000000004089, 2.236400000000401]",[0.9404000000004089],0.444,no_beat,0.4964000000004089,0.4964000000004089,"[""space"",""space""]",bu,3,testConjL2Uns//r2.s1.2.wav,2.0,conjunction_un,unsyncopated,b,s1,rule,rule,L2,m,0.821,2.0,0.0,0.5189,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,,,nada,60.0,yes
45,2024-01-13_15h43.41.306,Unsyncopated_study2,s90,20.0,feminino,right,españa,español y catalán,Bachelor degree,no,no,A,1,when,L4,unsyncopated,when,when,45,Online_whenL4//c.bu7.none.wav,lo,ci,ja,sil,pe,ñi,da,sil1,re,ru,sil2,['-'],,,none,none,,,,bu,3,testConjL2Uns//dep_viol.r2.s2.0.wav,2.0,conjunction_un,unsyncopated,b,s2,no_rule,dep,L2,z,0.434,5.0,0.0,1.1009,2.0,2.0,español,0.0,catalán,0.0,1.0,1.0,yes,no,no,guitarra,6,piano,6,,,nada,60.0,yes
